#,DOB,Birth City,S/P,Ctry,HT,Wt,S,Draft,Round,Overall,Rk,Age,BTN Code,First Name,Last Name,End Team,Teams,OGP,Pos,GP,G,A,PTS,+/-,Sh,Miss,Blkd,Sh%,CoSH%,Dist,Wrist,Snap,Slap,TOI,TOI/G,Shifts,Sh/G,TOI/Sh,Passes,Pa/60,IGP,IAP,IPP,FOW,FOL,FO%,%Tm,HitA,HitF,BkS,MsS,GvA,TkA,HA/60,HF/60,B/60,M/60,G/60,T/60,PIM,Minor,Major,Misc,G Misc,Match,NetPen,SOS,SOG,SO%,SOGDG,1G,OTGP,OTG,OTA,GWG,ENG,PSG,PST,PS%,DIA,OPS,DPS,PS,PS/G,PS/60,OGIT,DIT,RPM,OGVT,DGVT,SGVT,GVT,GVT/G,GVT/60,Full,LTIR,SOIR,Ginj,Injury,Cap Cost,Bonuses,GVS
22,Apr 22 '82,Charlesbourg,QC,CAN,74,216,L,2000,9,265,,31,JEAN-PHILIPPECOTE,Jean-Philippe,Cote,TBL,,,D,19,0,4,4,0,12,11,10,0.0%,0.0%,51.4,4,1,7,190.0,10.0,268,14.1,0.71,51,16.10,0.0%,7.8%,7.8%,0,0,0.0%,0,20,40,22,11,2,0,6.3,12.6,6.9,3.5,0.6,0.0,22,6,2,0,0,0,-2.1,,, ,,0,4,0,0,0,0,0,0,0%,5,0.2,0.3,0.6,0.03,0.19,1.9,2.7,-0.6,1,0.2,0,1.2,0.06,0.38,,,,,,550000,,0.2
39,Mar 28 '89,Guelph,ON,CAN,73,200,L,2007,1,9,,24,LOGANCOUTURE,Logan,Couture,SJS,,,C,65,23,31,54,21,233,91,76,9.9%,5.8%,29.3,116,35,30,1230.9,18.9,1733,26.7,0.71,162,7.91,23.5%,31.6%,55.1%,479,471,50.4%,22.9,93,16,68,91,43,39,4.5,0.8,3.3,4.4,2.1,1.9,20,10,0,0,0,0,4.6,14,7,50%,3,5,19,0,1,6,3,0,0,0%,8,5,2.3,7.2,0.11,0.35,30.6,27.9,15.5,8.3,5.1,2.3,15.7,0.24,0.77,,,,17,"Hand, Upper body",2875000,,10.7
14,Dec 07 '92,Phoenix,AZ,USA,75,197,L,2011,1,8,,21,SEANCOUTURIER,Sean,Couturier,PHI,,,C,82,13,26,39,1,165,59,55,7.9%,4.7%,33.5,79,37,18,1564.2,19.1,2063,25.2,0.76,150,5.75,11.0%,22.0%,33.1%,646,707,47.7%,27,119,64,40,59,40,47,4.6,2.5,1.5,2.3,1.5,1.8,45,15,1,1,0,0,2.5,5,1,20%,0,1,17,0,0,2,1,0,0,0%,6,1.4,1.7,3.2,0.04,0.12,27.7,35.5,-1.4,3.4,5.5,-0.5,8.4,0.10,0.32,,,,,,1375000,,6.0
2,Jan 25 '91,Saskatoon,SK,CAN,77,228,L,2009,1,9,,23,JAREDCOWEN,Jared,Cowen,OTT,,,D,68,6,9,15,0,68,26,31,8.8%,4.8%,49.5,27,6,28,1393.7,20.5,1790,26.3,0.78,39,1.68,6.3%,9.4%,15.6%,0,0,0.0%,0,144,214,99,26,45,11,6.2,9.2,4.3,1.1,1.9,0.5,45,20,1,0,0,0,-9.2,,, ,,0,21,0,0,2,0,0,0,0%,5,0.7,2.3,3,0.04,0.13,23,33.1,1,1.1,2.1,0,3.2,0.05,0.14,,,,8,Lower body,3100000,,-2.2
3,Mar 02 '92,E. Weymouth,MA,USA,75,221,R,2010,1,28,,21,CHARLIECOYLE,Charlie,Coyle,MIN,,,C/RW,70,12,18,30,-7,135,42,36,8.9%,5.6%,26.9,74,26,5,1195.8,17.1,1552,22.2,0.77,100,4.99,13.2%,19.8%,33.0%,192,266,41.9%,11.4,79,108,37,42,28,32,4.0,5.4,1.9,2.1,1.4,1.6,33,14,1,0,0,0,1.5,4,1,25%,1,2,22,0,2,2,0,1,1,100%,7,1.3,1.1,2.4,0.03,0.12,27.4,25,-8.8,-0.3,2.5,-0.2,2,0.03,0.10,,,,12,Knee,975000,,0.3
10,Apr 03 '83,Anchorage,AK,USA,73,190,R,2002,7,226,,30,JOSEPHCRABB,Joey,Crabb,FLA,,,RW,9,0,1,1,-2,5,3,4,0.0%,0.0%,30.4,4,0,1,129.4,14.4,188,20.9,0.69,34,15.76,0.0%,2.2%,2.2%,10,10,50.0%,3.6,11,23,5,3,1,1,5.1,10.7,2.3,1.4,0.5,0.5,7,1,1,0,0,0,1.8,,, ,,0,1,0,0,0,0,0,0,0%,6,-0.2,0,-0.2,-0.02,-0.09,1.3,2,-2,-0.2,0,0,-0.2,-0.02,-0.09,,,,,,600000,,-1.3
79,Jul 15 '85,Prince Albert,SK,CAN,74,210,R,2004,9,279,,28,ADAMCRACKNELL,Adam,Cracknell,STL,,,RW,19,0,2,2,0,16,7,5,0.0%,0.0%,31.4,5,2,0,155.5,8.2,224,11.8,0.69,12,4.44,0.0%,5.7%,5.7%,10,17,37.0%,2.3,26,33,8,7,0,3,10.0,12.7,3.1,2.7,0.0,1.2,0,0,0,0,0,0,1.7,,, ,,0,6,0,0,0,0,0,0,0%,5,-0.2,0.2,0,0.00,0.00,3.5,3.4,-1.1,-0.9,0.3,0,-0.6,-0.03,-0.23,,,,,,600000,,-1.7
12,Jan 06 '82,Abbotsford,BC,CAN,74,213,L,2002,8,255,,32,RYANCRAIG,Ryan,Craig,CBJ,,,C/LW,6,0,0,0,-3,4,0,1,0.0%,0.0%,31.8,2,1,0,42.1,7.0,58,9.7,0.73,0,0.00,0.0%,0.0%,0.0%,0,0,0.0%,0,1,8,1,0,0,0,1.4,11.4,1.4,0.0,0.0,0.0,0,0,0,0,0,0,-0.1,,, ,,0,1,0,0,0,0,0,0,0%,4,-0.1,-0.1,-0.2,-0.03,-0.28,0.9,0.9,-3.1,-0.4,-0.2,0,-0.6,-0.10,-0.85,,,,,,600000,,-1.7
19,Jul 10 '85,Denver,CO,USA,74,209,R,2003,2,54,,28,BRANDONCROMBEEN,B.J.,Crombeen,TBL,,,RW,55,3,7,10,-2,60,23,22,5.0%,2.9%,34.2,34,9,2,559.2,10.2,812,14.8,0.69,5,0.54,2.9%,6.8%,9.7%,3,5,37.5%,0.2,54,57,15,23,5,15,5.8,6.1,1.6,2.5,0.5,1.6,79,12,11,0,0,0,-4.0,,, ,,1,15,0,0,1,0,0,0,0%,2,-0.1,0.5,0.3,0.01,0.03,8.6,11.8,-5.5,0.1,1.3,0,1.4,0.03,0.15,,,,,,1150000,,-0.6
87,Aug 07 '87,Cole Harbour,NS,CAN,71,200,L,2005,1,1,,26,SIDNEYCROSBY,Sidney,Crosby,PIT,,,C,80,36,68,104,18,259,85,77,13.9%,8.6%,26.9,104,43,46,1756.7,22.0,1917,24.0,0.92,296,10.12,40.0%,75.6%,115.6%,991,896,52.5%,40.3,90,47,28,85,56,41,3.1,1.6,1.0,2.9,1.9,1.4,46,22,0,0,0,0,4.2,8,3,38%,2,3,16,1,1,5,1,0,1,100%,6,10.7,2.8,13.5,0.17,0.46,45.1,34.8,19,21.6,4.1,0.4,26.1,0.33,0.89,,,,1,Upper body,8700000,,10.8
7,Nov 02 '76,Virginia,MN,USA,73,200,L,1996,2,35,,37,MATTCULLEN,Matt,Cullen,NSH,,,C,77,10,29,39,4,134,39,57,7.5%,4.3%,27.3,81,22,16,1193.2,15.5,1557,20.2,0.77,182,9.15,9.8%,28.4%,38.2%,438,334,56.7%,16.7,70,18,22,39,40,30,3.5,0.9,1.1,2.0,2.0,1.5,32,15,0,0,0,0,-4.5,6,1,17%,0,3,15,0,0,2,0,0,0,0%,6,2.1,1.5,3.6,0.05,0.18,26.3,23.7,9.3,3.1,3.3,-0.8,5.6,0.07,0.28,,,,5,"Upper body, Upper body",3500000,,-0.5
42,Apr 23 '90,Toronto,ON,CAN,69,195,L,,,,,23,MARKCUNDARI,Mark,Cundari,CGY,,,D,4,0,0,0,-4,6,2,2,0.0%,0.0%,66.3,1,1,4,43.1,10.8,59,14.8,0.73,0,0.00,0.0%,0.0%,0.0%,0,0,0.0%,0,4,10,4,2,3,0,5.6,13.9,5.6,2.8,4.2,0.0,0,0,0,0,0,0,0.2,,, ,,0,1,0,0,0,0,0,0,0%,5,-0.1,-0.2,-0.3,-0.08,-0.42,1,1.1,-3.6,-0.2,-0.4,0,-0.6,-0.15,-0.83,,,,,,600000,,-1.7
61,Sep 13 '90,Trail,BC,CAN,70,184,R,2010,4,97,Y,23,CRAIGCUNNINGHAM,Craig,Cunningham,BOS,,,RW/LW,2,0,0,0,0,4,0,0,0.0%,0.0%,26.8,0,3,0,19.0,9.5,30,15.0,0.63,0,0.00,0.0%,0.0%,0.0%,3,4,42.9%,6.4,4,1,0,0,0,0,12.7,3.2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,,, ,,0,0,0,0,0,0,0,0,0%,3,-0.1,0,0,0.00,0.00,0.1,0.5,-0.2,-0.1,0.1,0,0,0.00,0.00,,,,,,651667,,-1.1
24,Jan 09 '91,PORT ELGIN,ON,CAN,75,204,,,,,Y,23,KEVINCZUCZMAN,Kevin,Czuczman,NYI,,,D,13,0,2,2,-5,24,13,7,0.0%,0.0%,46.9,12,5,7,254.1,19.5,327,25.2,0.78,31,7.29,0.0%,18.2%,18.2%,1,0,100.0%,0.1,16,15,13,13,6,6,3.8,3.5,3.1,3.1,1.4,1.4,14,7,0,0,0,0,-1.8,,, ,,0,5,0,0,0,0,0,0,0%,3,-0.1,0.1,0,0.00,0.00,4,5.3,-3.5,-0.2,0,0,-0.2,-0.02,-0.05,,,,,,1350000,,-2.6
27,Oct 23 '86,Sault Ste. Marie,ON,CAN,72,198,R,2005,6,190,,27,MATTD'AGOSTINI,Matt,D'Agostini,BUF,PIT,8,RW,57,5,7,12,-15,110,35,56,4.5%,2.5%,32.8,50,19,19,846.6,14.9,1105,19.4,0.77,23,1.59,9.1%,12.7%,21.8%,5,10,33.3%,0.4,89,55,40,35,12,22,6.3,3.9,2.8,2.5,0.9,1.6,26,13,0,0,0,0,0.8,2,0,0%,0,1,14,1,0,2,0,0,0,0%,4,-0.5,0.6,0.2,0.00,0.01,15.9,14.2,-5,-2.1,0.4,-0.6,-2.3,-0.04,-0.16,,,,16,Upper body,550000,,-3.3
29,Feb 19 '91,Binghamton,NY,USA,71,208,L,2009,6,158,Y,22,JERRYD'AMIGO,Jerry,D'Amigo,TOR,,,RW,22,1,2,3,-1,12,3,5,8.3%,5.0%,22.9,3,2,0,177.0,8.0,262,11.9,0.68,10,3.32,2.7%,5.4%,8.1%,1,3,25.0%,0.2,35,23,4,3,3,6,11.9,7.8,1.4,1.0,1.0,2.0,0,0,0,0,0,0,5.7,,, ,,0,9,0,0,0,0,0,0,0%,3,0,0.1,0.1,0.00,0.03,3.4,4.7,-1.2,-0.3,0.3,0,0,0.00,0.00,,,,,,1082500,,-1.9
24,Jul 11 '89,Paris,,FRA,71,180,R,,,,,24,STEPHANEDACOSTA,Stephane,Da Costa,OTT,,,C,12,3,1,4,2,20,9,17,15.0%,6.5%,29.4,12,2,2,124.9,10.4,178,14.8,0.70,10,4.64,9.4%,3.1%,12.5%,32,47,40.5%,9.9,13,14,3,9,1,7,6.2,6.7,1.4,4.3,0.5,3.4,2,1,0,0,0,0,-0.2,1,1,100%,0,2,4,0,0,0,0,0,0,0%,4,0.5,0.2,0.6,0.05,0.29,3.2,2.4,2.9,0.5,0.2,0.6,1.3,0.11,0.62,,,,,,825000,,-0.1
6,Oct 09 '83,Toronto,ON,CAN,71,195,L,2002,2,43,,30,TREVORDALEY,Trevor,Daley,DAL,,,D,67,9,16,25,10,107,56,69,8.4%,3.9%,46.4,45,11,41,1416.2,21.1,1787,26.7,0.79,86,3.64,8.6%,15.2%,23.8%,0,0,0.0%,0,63,42,98,56,21,15,2.7,1.8,4.2,2.4,0.9,0.6,38,19,0,0,0,0,-8.6,,, ,,2,15,0,1,3,1,0,0,0%,5,2.1,3.5,5.6,0.08,0.24,24.1,31.3,6.3,4.9,4.3,0,9.2,0.14,0.39,,,,14,Ankle,3300000,,3.4
21,Nov 01 '89,Paris,ON,CAN,73,195,R,2008,2,45,,24,ZACDALPE,Zac,Dalpe,VAN,,,C,55,4,3,7,-7,52,30,14,7.7%,4.2%,31.3,35,4,2,392.2,7.1,626,11.4,0.63,0,0.00,4.7%,3.5%,8.2%,106,125,45.9%,6.9,43,36,9,30,2,4,6.6,5.5,1.4,4.6,0.3,0.6,6,3,0,0,0,0,3.3,2,0,0%,0,1,12,0,0,0,0,0,0,0%,3,0.1,0.2,0.4,0.01,0.06,8.4,7.3,-5.5,-0.7,0.3,-0.6,-1,-0.02,-0.15,,,,,,550000,,-2.0
13,Jul 20 '78,Sverdlovsk,,RUS,71,198,L,1998,6,171,,35,PAVELDATSYUK,Pavel,Datsyuk,DET,,,C,45,17,20,37,1,126,39,50,13.5%,7.9%,29.2,56,32,6,912.0,20.3,1122,24.9,0.81,98,6.42,25.4%,29.9%,55.2%,446,389,53.4%,31.1,79,30,22,39,21,59,5.2,2.0,1.4,2.6,1.4,3.9,6,3,0,0,0,0,10.9,8,2,25%,0,2,15,0,1,2,1,0,0,0%,6,3.6,1,4.6,0.10,0.30,24.7,20.6,3.1,4.9,2,-0.5,6.4,0.14,0.42,,,,37,"Head, Knee, Shoulder",6700000,,-5.4
44,May 09 '91,Carp,ON,CAN,73,187,L,2009,1,12,Y,22,CALVINDEHAAN,Calvin,de Haan,NYI,,,D,51,3,13,16,-7,71,25,57,4.2%,2.0%,53.4,35,9,26,1072.2,21.0,1398,27.4,0.77,89,4.99,4.7%,20.3%,25.0%,0,0,0.0%,0,58,114,104,25,34,30,3.2,6.4,5.8,1.4,1.9,1.7,30,14,0,0,0,0,0.8,,, ,,0,16,0,0,1,0,0,0,0%,5,0.8,1.6,2.4,0.05,0.13,19.1,21.9,-0.1,1.8,1.9,0,3.7,0.07,0.21,,,,5,Leg,1470000,,1.1
65,Mar 07 '90,Detroit,MI,USA,75,190,L,,,,Y,23,DANNYDEKEYSER,Danny,DeKeyser,DET,,,D,65,4,19,23,10,84,35,53,4.8%,2.3%,51.5,33,8,41,1405.8,21.6,1955,30.1,0.72,59,2.52,4.9%,23.5%,28.4%,0,0,0.0%,0,110,64,116,35,36,13,4.7,2.7,5.0,1.5,1.5,0.6,30,15,0,0,0,0,5.2,,, ,,1,21,0,1,0,0,0,0,0%,5,1.3,3.8,5.1,0.08,0.22,24.7,28.3,10.2,3.2,4.8,0,8,0.12,0.34,,,,16,"Shoulder, Back",1350000,,5.6
5,Jun 24 '90,Stouffville,ON,CAN,72,195,L,2008,1,20,,23,MICHAELDELZOTTO,Michael,Del Zotto,NSH,NYR,42,D,67,3,13,16,-9,90,32,77,3.3%,1.5%,45.1,39,15,33,1152.4,17.2,1502,22.4,0.77,122,6.36,3.0%,12.9%,15.8%,0,1,0.0%,0,72,78,75,32,31,15,3.7,4.1,3.9,1.7,1.6,0.8,18,9,0,0,0,0,3.0,,, ,,0,12,0,0,0,0,0,0,0%,0,0.7,2,2.7,0.04,0.14,25.3,23.7,-8,0.3,1.2,0,1.5,0.02,0.08,,,,1,Flu,2550000,,-3.0
5,Jun 09 '88,Dorval,QC,CAN,73,195,R,2008,7,186,,25,JASONDEMERS,Jason,Demers,SJS,,,D,75,5,29,34,14,105,56,68,4.8%,2.2%,44.6,41,14,48,1460.7,19.5,1850,24.7,0.79,128,5.26,4.6%,26.6%,31.2%,0,0,0.0%,0,123,69,107,56,69,40,5.1,2.8,4.4,2.3,2.8,1.6,30,15,0,0,0,0,4.2,1,0,0%,0,2,20,0,0,0,0,0,0,0%,4,2.5,4.2,6.7,0.09,0.28,33.1,29.8,7.6,4.9,4.4,-0.3,9.1,0.12,0.37,,,,4,"Lower body, Foot",1500000,,6.5
94,Jan 06 '90,LaSalle,QC,CAN,72,173,L,2008,2,35,Y,24,NICOLASDESCHAMPS,Nicolas,Deschamps,WSH,,,C,3,0,0,0,-1,2,0,1,0.0%,0.0%,14.0,1,0,0,20.5,6.8,26,8.7,0.79,0,0.00,0.0%,0.0%,0.0%,0,0,0.0%,0,1,1,0,0,0,0,2.9,2.9,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,,, ,,0,1,0,0,0,0,0,0,0%,3,-0.1,0,-0.1,-0.03,-0.29,0.4,0.4,-1,-0.2,-0.1,0,-0.2,-0.07,-0.59,,,,,,726000,,-1.5
51,Sep 14 '86,Laurier-Station,QC,CAN,67,170,L,,,,,27,DAVIDDESHARNAIS,David,Desharnais,MTL,,,C,79,16,36,52,11,96,29,33,16.7%,10.1%,25.0,52,9,10,1357.9,17.2,1726,21.8,0.79,217,9.59,17.6%,39.6%,57.1%,611,591,50.8%,24.4,69,23,35,29,22,34,3.0,1.0,1.5,1.3,1.0,1.5,24,12,0,0,0,0,-2.6,7,5,71%,3,1,19,1,2,2,2,0,0,0%,4,3.9,2.2,6.1,0.08,0.27,32.7,26.5,12.3,6.2,2.6,2.5,11.2,0.14,0.49,,,,1,Flu,3500000,,5.1
10,Jul 27 '86,Lively,ON,CAN,73,195,L,,,,,27,ANDREWDESJARDINS,Andrew,Desjardins,SJS,,,C,81,3,14,17,-8,95,28,39,3.2%,1.9%,32.7,50,12,9,902.6,11.1,1361,16.8,0.66,99,6.61,1.9%,8.9%,10.8%,371,304,55.0%,13.1,106,103,43,28,26,37,7.0,6.8,2.9,1.9,1.7,2.5,86,13,10,1,0,0,-0.7,,, ,,1,23,0,0,1,0,0,0,0%,3,-0.3,0.6,0.3,0.00,0.02,13.2,15.2,-12.2,0.4,1.5,0,1.9,0.02,0.13,,,,,,750000,,0.6
44,Feb 22 '91,LaSalle,QC,CAN,73,209,L,2009,3,84,Y,22,NICOLASDESLAURIERS,Nicolas,Deslauriers,BUF,,,LW/D,17,1,0,1,-10,30,10,9,3.3%,2.0%,32.7,13,7,8,223.4,13.1,294,17.3,0.76,0,0.00,3.8%,0.0%,3.8%,0,1,0.0%,0.1,10,51,3,10,1,2,2.7,13.7,0.8,2.7,0.3,0.5,18,4,2,0,0,0,-3.3,,, ,,0,2,0,0,0,0,0,0,0%,4,-0.4,-0.1,-0.5,-0.03,-0.13,4,3.6,-7.4,-1.3,-0.5,0,-1.8,-0.11,-0.48,,,,,,716667,,-3.1
47,Jul 27 '91,Laval,QC,CAN,76,214,L,2009,1,30,,22,SIMONDESPRES,Simon,Despres,PIT,,,D,34,0,5,5,4,41,12,30,0.0%,0.0%,49.7,17,10,13,569.2,16.7,754,22.2,0.75,25,2.67,0.0%,11.4%,11.4%,0,0,0.0%,0,64,72,46,12,15,10,6.7,7.6,4.8,1.3,1.6,1.1,26,13,0,0,0,0,-3.4,,, ,,0,10,0,0,0,0,0,0,0%,1,-0.2,1.7,1.6,0.05,0.17,9,10.5,2.9,-0.4,1.6,0,1.3,0.04,0.14,,,,,,840000,,-0.2
59,Feb 20 '91,Mississauga,ON,CAN,77,217,L,2009,3,68,Y,22,JAMIEDEVANE,Jamie,Devane,TOR,,,LW,2,0,0,0,-1,1,0,0,0.0%,0.0%,29.0,1,0,0,11.7,5.9,19,9.5,0.62,0,0.00,0.0%,0.0%,0.0%,0,0,0.0%,0,1,2,0,0,0,0,5.1,10.2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,,, ,,0,1,0,0,0,0,0,0,0%,4,0,0,-0.1,-0.05,-0.51,0.3,0.3,-1,-0.1,-0.1,0,-0.2,-0.10,-1.02,,,,,,701111,,-1.4
4,Jan 09 '86,Baar,,CHE,71,197,R,,,,,28,RAPHAELDIAZ,Raphael,Diaz,NYR,"MTL, VAN",52,D,63,2,13,15,-2,68,44,63,2.9%,1.1%,50.8,27,8,29,1132.4,18.0,1509,24.0,0.75,169,8.98,2.8%,18.3%,21.1%,0,1,0.0%,0,50,36,127,44,22,8,2.6,1.9,6.7,2.3,1.2,0.4,16,8,0,0,0,0,1.9,1,0,0%,0,0,15,0,0,0,0,0,0,0%,2,0.5,2.6,3.1,0.05,0.16,17.2,19.3,-3.1,1.7,1.8,-0.3,3.2,0.05,0.17,,,,1,Flu,1225000,,1.0
4,Nov 13 '90,New Westminster,BC,CAN,75,225,L,,,,,23,BRENDENDILLON,Brenden,Dillon,DAL,,,D,80,6,11,17,9,97,40,68,6.2%,2.9%,52.3,45,12,36,1686.2,21.1,2067,25.8,0.82,59,2.11,5.8%,10.7%,16.5%,0,0,0.0%,0,125,168,149,40,52,15,4.4,6.0,5.3,1.4,1.9,0.5,86,28,4,1,0,0,0.2,,, ,,0,17,0,0,1,0,0,0,0%,6,0.5,3.9,4.4,0.06,0.16,26.3,37.8,3.8,1,5,0,6,0.08,0.21,,,,2,Lower body,900000,,4.4
19,Oct 10 '76,Halkirk,AB,CAN,73,223,R,1995,1,7,,37,SHANEDOAN,Shane,Doan,PHX,,,RW,69,23,24,47,-7,167,81,70,13.8%,7.2%,28.6,83,16,31,1306.1,18.9,1618,23.4,0.81,146,6.72,29.9%,31.2%,61.0%,6,6,50.0%,0.2,113,135,22,81,20,48,5.2,6.2,1.0,3.7,0.9,2.2,34,12,0,1,0,0,2.4,2,0,0%,0,4,17,0,1,4,0,0,0,0%,4,4.1,1.2,5.3,0.08,0.24,32.2,25,-1.5,5.3,1.7,-0.6,6.4,0.09,0.29,,,,13,"Lower body, Upper body",5300000,,-2.9
46,May 09 '90,Edmond,OK,USA,72,195,L,2008,4,96,Y,23,MATTDONOVAN,Matt,Donovan,NYI,,,D,52,2,14,16,-9,86,34,45,2.3%,1.2%,48.0,32,19,31,939.6,18.1,1221,23.5,0.77,53,3.38,2.7%,19.2%,21.9%,0,0,0.0%,0,86,68,72,34,37,18,5.5,4.3,4.6,2.2,2.4,1.1,26,13,0,0,0,0,-2.0,,, ,,0,15,0,0,0,0,0,0,0%,1,0.9,1.1,2,0.04,0.13,20.3,20.2,-1.2,1.3,1.3,0,2.6,0.05,0.17,,,,,,875000,,1.1
15,Dec 20 '86,Kindersley,SK,CAN,72,192,R,2006,7,189,,27,DEREKDORSETT,Derek,Dorsett,NYR,,,RW,51,4,4,8,-1,67,16,25,6.0%,3.7%,23.2,35,2,10,562.4,11.0,824,16.2,0.68,88,9.39,6.2%,6.2%,12.3%,0,3,0.0%,0.1,78,102,27,16,8,12,8.3,10.9,2.9,1.7,0.9,1.3,128,19,10,4,0,0,-5.0,,, ,,1,9,0,0,0,0,0,0,0%,3,-0.2,0.7,0.4,0.01,0.04,8.4,10,-3.1,-0.3,1.4,0,1.2,0.02,0.13,,,,24,"Wrist, Leg, Flu, Concussion",1633333,,-1.7
8,Dec 08 '89,London,ON,CAN,73,213,R,2008,1,2,,24,DREWDOUGHTY,Drew,Doughty,LAK,,,D,78,10,27,37,18,177,97,129,5.6%,2.5%,47.9,69,29,72,2005.4,25.7,2450,31.4,0.82,177,5.30,10.2%,27.6%,37.8%,0,0,0.0%,0,141,180,91,97,82,16,4.2,5.4,2.7,2.9,2.5,0.5,64,32,0,0,0,0,-4.2,1,0,0%,0,3,18,0,1,2,0,0,0,0%,6,2.8,6.6,9.4,0.12,0.28,49.4,42.9,4.9,3.3,7.5,-0.3,10.5,0.13,0.31,,,,4,Shoulder,7000000,,-1.8
18,Mar 04 '85,Eau Claire,WI,USA,72,200,L,2004,5,140,,28,JACOBDOWELL,Jake,Dowell,MIN,,,C,1,0,0,0,-1,1,1,0,0.0%,0.0%,53.0,0,0,1,7.2,7.2,10,10.0,0.72,0,0.00,0.0%,0.0%,0.0%,2,2,50.0%,7.5,2,3,0,1,0,0,16.8,25.2,0.0,8.4,0.0,0.0,0,0,0,0,0,0,0.0,,, ,,0,1,0,0,0,0,0,0,0%,4,0,0,-0.1,-0.10,-0.84,0.3,0.3,-1,-0.1,-0.1,0,-0.2,-0.20,-1.68,,,,,,700000,,-1.4
9,Apr 03 '87,Newmarket,ON,CAN,71,191,R,2005,1,29,,26,STEVEDOWNIE,Steve,Downie,PHI,COL,11,RW/LW,62,4,20,24,1,88,33,38,4.5%,2.5%,39.3,47,13,16,874.4,14.1,1145,18.5,0.76,106,7.26,3.8%,19.2%,23.1%,4,3,57.1%,0.1,80,70,18,33,21,24,5.5,4.8,1.2,2.3,1.4,1.6,106,33,4,2,0,0,-12.1,,, ,,0,11,0,0,1,1,0,0,0%,3,0.7,0.9,1.6,0.03,0.11,19.9,16.2,2,0,0.9,0,1,0.02,0.07,,,,15,"Concussion, Flu, Upper body",2650000,,-3.7
40,Jan 14 '87,Prince George,BC,CAN,72,192,L,2005,6,171,,27,NICHOLASDRAZENOVIC,Nick,Drazenovic,PIT,,,C,1,0,0,0,-1,3,0,0,0.0%,0.0%,18.0,3,0,0,10.3,10.3,15,15.0,0.69,0,0.00,0.0%,0.0%,0.0%,3,1,75.0%,8.5,0,1,0,0,0,0,0.0,5.8,0.0,0.0,0.0,0.0,2,1,0,0,0,0,-1.0,,, ,,0,0,0,0,0,0,0,0,0%,3,0,0,-0.1,-0.10,-0.58,0.3,0.2,-1,-0.1,-0.1,0,-0.2,-0.20,-1.17,,,,,,550000,,-1.2
17,Apr 29 '86,Anchorage,AK,USA,74,216,L,2004,2,60,,27,BRANDONDUBINSKY,Brandon,Dubinsky,CBJ,,,C,76,16,34,50,5,189,77,76,8.5%,4.7%,26.6,109,19,13,1426.6,18.8,1835,24.1,0.78,214,8.99,16.0%,34.0%,50.0%,586,521,52.9%,24.5,84,234,39,77,20,33,3.5,9.8,1.6,3.2,0.8,1.4,98,29,2,1,2,0,-11.8,,, ,,4,14,0,0,2,0,0,0,0%,7,3.5,1.8,5.3,0.07,0.22,30.7,31.6,3.4,6.4,3.7,0,10,0.13,0.42,,,,6,Foot,4200000,,2.6
9,Jan 16 '91,Haliburton,ON,CAN,71,200,L,2009,1,3,,23,MATTDUCHENE,Matt,Duchene,COL,,,C,71,23,47,70,8,217,76,81,10.6%,6.1%,24.7,162,21,5,1312.2,18.5,1563,22.0,0.84,282,12.89,23.0%,47.0%,70.0%,532,526,50.3%,24.8,101,53,44,76,36,40,4.6,2.4,2.0,3.5,1.6,1.8,19,7,1,0,0,0,17.4,6,3,50%,2,2,17,1,3,6,3,0,0,0%,8,6.6,1.5,8.1,0.11,0.37,33.1,27,1.1,12.8,1.8,1,15.6,0.22,0.71,,,,7,"Oblique, Back",3500000,,9.5
55,Jul 25 '94,Regina,SK,CAN,72,183,R,2012,1,7,Y,19,MATHEWDUMBA,Matt,Dumba,MIN,,,D,13,1,1,2,-5,12,7,12,8.3%,3.2%,52.1,5,3,4,161.8,12.4,232,17.8,0.70,0,0.00,4.3%,4.3%,8.7%,0,0,0.0%,0,11,9,3,7,5,2,4.1,3.3,1.1,2.6,1.9,0.7,2,1,0,0,0,0,0.6,,, ,,0,4,0,0,0,0,0,0,0%,2,0.1,-0.1,0.1,0.01,0.04,1.9,2.1,-5.2,0.4,-0.4,0,0,0.00,0.00,,,,,,1602500,,-2.8
37,Oct 06 '90,Ville Degelis,QC,CAN,70,184,R,2009,5,139,Y,23,GABRIELDUMONT,Gabriel,Dumont,MTL,,,C,2,0,0,0,0,1,0,0,0.0%,0.0%,55.0,1,0,0,13.7,6.8,20,10.0,0.68,0,0.00,0.0%,0.0%,0.0%,3,5,37.5%,6.2,3,3,0,0,1,1,13.2,13.2,0.0,0.0,4.4,4.4,0,0,0,0,0,0,0.0,,, ,,0,1,0,0,0,0,0,0,0%,4,0,0,0,0.00,0.00,0.1,0.1,0,0,0,0,0,0.00,0.00,,,,,,562500,,-1.0
