#,DOB,Birth City,S/P,Ctry,Nat,HT,Wt,S,Draft,Round,Overall,Rk,Age,First Name,Last Name,End Team,Teams,OGP,Pos,GP,G,A,A1,PTS,+/-,Sh,Misses,Blocked,Sh%,CoSH%,TOI,TOI/G,Shifts,Sh/G,TOI/Sh,Passes,Pa/60,IGP,IAP,IPP,FOW,FOL,FO%,%Tm,OpenFOT,OpenFOW,HitA,HitF,BkS,MsS,GvA,TkA,HA/60,HF/60,B/60,M/60,G/60,T/60,PIM,Minor,Major,Misc,G Misc,Match,Grit,NetPen,SOS,SOG,SO%,SOGDG,1G,OTGP,OTG,OTA,GWG,ENG,PSG,PST,PS%,OPS,DPS,PS,PS/G,PS/60,DIA,OGIT,DIT,RPM,OGVT,DGVT,SGVT,GVT,GVT/G,GVT/60,1st Star,2nd Star,3rd Star,FO GAR,PenD GAR,PenT GAR,SRF GAR,SRA GAR,Sh GAR,GAR,dCFImpact,dCAImpact,dCorsiImpact,dCorsi60,dFFImpact,dFAImpact,dFenwickImpact,dFenwick60,Days,Ginj,Injury,Cap Cost,CHIP,Bonuses,GVS
44,Feb 22 '91,LaSalle,QC,CAN,CA,73,209,L,2009,3,84,Y,23,Nicolas,Deslauriers,BUF,BUF,,LW,82,5,10,6,15,-24,76,34,33,6.6%,3.5%,973.5,11.9,1278,15.6,0.76,87,5.33,25.0%,50.0%,75.0%,0,1,0.0%,.0,,,71,261,36,34,8,9,4.4,16.1,2.2,2.1,0.5,0.6,71,13,7,0,0,1,375,-3.5,,, ,,3,17,0,0,1,0,0,0,0%,-0.5,0.3,-0.2,0.00,-0.01,3,18.5,18.9,-11.0,-2.3,0.1,0.0,-2.2,-0.03,-0.14,0,2,0,-0.01,-1.31,0.58,-4.14,-3.52,-0.86,-9.26,-9.9,-16.2,6.3,0.4,-7.8,-1.8,-6.0,-0.4,186,,,0.637,0,0,-2.4
24,Jul 27 '91,Laval,QC,CAN,CA,76,214,L,2009,1,30,,23,Simon,Despres,ANA,"PIT, ANA",59,D,75,3,20,10,23,11,103,41,71,2.9%,1.4%,1265.0,16.9,1704,22.7,0.74,91,4.33,6.1%,40.8%,46.9%,0,1,0.0%,.0,,,160,233,101,41,30,11,7.6,11.1,4.8,1.9,1.4,0.5,86,33,4,0,0,0,424,-6.5,1,0,0%,0,0,17,1,2,1,0,0,0,0%,1.3,3.6,5.0,0.07,0.24,3,23.0,25.9,7.6,3.1,3.9,-0.3,6.8,0.09,0.32,0,2,1,0,1.36,-1.91,-0.43,2.98,-2.25,-0.25,-14.7,-51.4,36.7,4.9,-3.6,-38.4,34.9,6.0,186,2,Illness,0.9,0.022,0,6.1
33,Jan 09 '86,Baar,,CHE,CH,71,197,R,,,,,29,Raphael,Diaz,CGY,CGY,,D,56,2,2,1,4,-3,52,34,46,3.8%,1.5%,673.3,12.0,962,17.2,0.70,12,1.08,8.7%,8.7%,17.4%,0,0,0.0%,.0,,,29,24,67,34,17,12,2.6,2.1,6.0,3.0,1.5,1.1,10,5,0,0,0,0,101,3.1,,, ,,0,12,0,0,1,0,0,0,0%,-0.2,1.2,1.0,0.02,0.09,2,12.5,12.7,-3.6,-1.3,0.7,0.0,-0.6,-0.01,-0.05,0,0,0,0,-0.25,0.62,-0.81,1.35,-1.12,-0.21,57.0,-40.2,97.2,9.7,39.5,-43.5,83.1,8.3,186,4,Undisclosed,0.7,0.034,0,-0.9
4,Nov 13 '90,New Westminster,BC,CAN,CA,76,225,L,,,,,24,Brenden,Dillon,SJS,"DAL, SJS",20,D,80,2,8,3,10,-13,91,63,112,2.2%,0.8%,1565.7,19.6,2054,25.7,0.76,39,1.50,4.4%,17.8%,22.2%,0,0,0.0%,.0,,,153,154,139,63,51,15,5.9,5.9,5.3,2.4,2.0,0.6,77,26,5,0,0,0,375,1.6,,, ,,0,15,0,0,1,0,0,0,0%,-0.6,2.0,1.4,0.02,0.05,5,24.9,32.7,-12.4,-2.0,2.1,0.0,0.1,0.00,0.00,0,1,0,0,1.05,-1.04,0.75,-1.48,-2.44,-3.16,5.5,-7.9,13.5,-0.5,11.6,-36.8,48.4,3.2,186,,,1.25,0,0,-1.4
19,Oct 10 '76,Halkirk,AB,CAN,CA,73,223,R,1995,1,7,,38,Shane,Doan,ARI,ARI,,RW,79,14,22,16,36,-29,189,67,59,7.4%,4.4%,1491.8,18.9,1877,23.8,0.79,238,9.57,22.6%,35.5%,58.1%,3,8,27.3%,.2,,,144,189,26,67,42,43,5.8,7.6,1.0,2.7,1.7,1.7,65,24,3,0,0,0,283,-6.4,3,1,33%,1,1,18,0,0,0,0,0,0,0%,1.4,0.8,2.2,0.03,0.09,5,34.4,29.7,-3.6,-0.8,0.9,0.1,0.1,0.00,0.00,3,3,1,-0.02,-1.18,0.79,5.25,-4.48,-4.18,-3.82,-23.4,14.8,-38.2,-2.0,-12.7,30.2,-42.8,-2.2,186,3,Lower body,5.3,0.129,0,-10.0
46,May 09 '90,Edmond,OK,USA,US,73,205,L,2008,4,96,,24,Matt,Donovan,NYI,NYI,,D,12,0,3,3,3,4,12,11,15,0.0%,0.0%,210.9,17.6,251,20.9,0.84,22,6.33,0.0%,37.5%,37.5%,0,0,0.0%,.0,,,20,22,16,11,11,3,5.7,6.3,4.6,3.1,3.1,0.9,0,0,0,0,0,0,38,3.0,,, ,,0,3,0,1,0,0,0,0,0%,0.1,0.7,0.8,0.07,0.23,4,3.2,3.7,3.7,0.3,1.0,0.0,1.3,0.11,0.37,0,0,0,0,0.43,0.45,-0.38,-0.24,-0.58,-0.32,-19.3,3.4,-22.7,-7.3,-13.0,3.5,-16.6,-5.3,186,,,0.827,0,0,0.7
51,Dec 20 '86,Kindersley,SK,CAN,CA,72,192,R,2006,7,189,,28,Derek,Dorsett,VAN,VAN,,RW,79,7,18,10,25,4,89,48,29,7.9%,4.2%,951.6,12.0,1380,17.5,0.69,100,6.33,20.0%,51.4%,71.4%,7,9,43.8%,.3,,,119,166,37,48,12,18,7.5,10.5,2.3,3.0,0.8,1.1,175,35,17,2,0,0,395,-5.5,,, ,,2,15,0,0,3,0,0,0,0%,1.0,1.2,2.1,0.03,0.13,2,18.7,18.6,3.0,1.6,2.0,0.0,3.5,0.04,0.22,1,3,0,0,2.57,-2.44,-0.88,-1.43,-1.96,-4.14,-91.7,62.8,-154.4,-10.4,-55.7,46.3,-102.0,-6.8,186,3,"Lower body, Undisclosed",1.633,0.02,0,1.2
8,Dec 08 '89,London,ON,CAN,CA,73,213,R,2008,1,2,,25,Drew,Doughty,LAK,LAK,,D,82,7,39,21,46,3,219,104,165,3.2%,1.4%,2377.7,29.0,2674,32.6,0.89,236,5.95,6.7%,37.1%,43.8%,0,1,0.0%,.0,,,146,152,144,104,80,12,3.7,3.8,3.6,2.6,2.0,0.3,56,28,0,0,0,0,352,-4.9,1,0,0%,0,0,18,0,0,2,0,0,0,0%,3.0,5.6,8.6,0.10,0.22,8,52.4,49.2,-4.0,4.9,6.5,-0.3,11.1,0.14,0.28,4,4,3,-0.01,-0.55,0.17,3.55,2.16,-5.09,0.23,3.5,-21.4,24.9,0.9,8.4,-22.6,31.0,1.1,186,,,7,0,0,-2.6
23,Apr 03 '87,Newmarket,ON,CAN,CA,71,191,R,2005,1,29,,27,Steve,Downie,PIT,PIT,,RW,72,14,14,8,28,2,104,18,36,13.5%,8.9%,895.2,12.4,1276,17.7,0.70,99,6.61,38.9%,38.9%,77.8%,4,4,50.0%,.1,,,97,108,34,18,24,16,6.5,7.2,2.3,1.2,1.6,1.1,238,49,8,9,1,0,388,-13.5,1,0,0%,0,0,19,0,0,2,1,0,0,0%,2.2,1.2,3.3,0.05,0.22,3,19.1,16.4,1.6,3.5,1.4,-0.3,4.6,0.06,0.31,3,2,0,0,2.54,-4.69,-1.38,0.98,4.3,1.75,-32.9,25.4,-58.3,-4.5,-15.8,1.7,-17.5,-1.4,186,9,"Illness, Undisclosed, Upper body",1,0.061,0,3.6
29,Oct 27 '95,Cologne,,DEU,DE,73,210,L,2014,1,3,Y,19,Leon,Draisaitl,EDM,EDM,,C,37,2,7,6,9,-17,49,18,10,4.1%,2.6%,469.7,12.7,647,17.5,0.73,119,15.19,13.3%,46.7%,60.0%,128,187,40.6%,13.8,1,0,45,21,8,18,16,14,5.7,2.7,1.0,2.3,2.0,1.8,4,2,0,0,0,0,33,4.2,,, ,,0,8,0,0,1,0,0,0,0%,-0.1,-0.2,-0.2,-0.01,-0.03,2,11.3,10.0,-8.9,-1.5,-0.2,0.0,-1.7,-0.05,-0.22,0,2,0,-0.21,0.28,1.1,0.44,1.29,-2.57,0.33,8.2,9.5,-1.3,-0.2,32.4,12.6,19.9,2.9,88,,,1.609,0,2.475,-4.6
27,Mar 28 '95,Ste-Agathe,QC,CAN,CA,71,186,L,2013,1,3,Y,19,Jonathan,Drouin,TBL,TBL,,LW,70,4,28,16,32,3,76,32,46,5.3%,2.6%,926.6,13.2,1170,16.7,0.79,199,12.91,9.1%,63.6%,72.7%,11,10,52.4%,.5,,,51,55,16,32,25,36,3.3,3.6,1.0,2.1,1.6,2.3,34,12,0,1,0,0,105,0.4,2,0,0%,0,0,11,0,0,0,0,0,0,0%,1.5,0.9,2.4,0.03,0.16,3,19.8,16.5,-2.1,3.1,1.1,-0.5,3.7,0.05,0.24,1,0,1,-0.01,-0.44,0.89,3.84,0.08,-3.55,0.81,21.8,8.0,13.8,1.1,29.8,6.9,23.0,1.8,186,7,"Illness, Thumb",3.194,0.039,2.3,-1.9
17,Apr 29 '86,Anchorage,AK,USA,US,74,216,L,2004,2,60,,28,Brandon,Dubinsky,CBJ,CBJ,,C,47,13,23,11,36,11,100,28,41,13.0%,7.7%,848.9,18.1,1187,25.3,0.72,89,6.32,33.3%,59.0%,92.3%,436,423,50.8%,30.5,30,15,37,152,11,29,19,19,2.6,10.7,0.8,2.0,1.3,1.3,43,14,3,0,0,0,209,-0.2,1,0,0%,0,1,13,0,0,1,0,1,1,100%,3.1,1.3,4.4,0.09,0.31,7,16.4,19.8,12.7,7.3,3.0,-0.3,10.0,0.21,0.71,3,1,3,0.55,0.03,0.21,3.94,-0.29,0.28,4.72,41.8,-48.7,90.5,9.0,18.9,-44.0,62.9,6.2,186,35,"Concussion, Illness, Lower body, Upper body",4.2,0.154,0,2.2
9,Jan 16 '91,Haliburton,ON,CAN,CA,71,200,L,2009,1,3,,24,Matt,Duchene,COL,COL,,C,82,21,34,19,55,3,207,75,62,10.1%,6.1%,1522.9,18.6,1852,22.6,0.82,160,6.29,30.9%,50.0%,80.9%,635,582,52.2%,24.1,41,21,106,43,74,75,34,49,4.2,1.7,2.9,3.0,1.3,1.9,16,8,0,0,0,0,133,14.4,14,6,43%,2,1,24,0,0,4,0,0,0,0%,4.3,1.9,6.2,0.08,0.24,7,32.0,28.5,6.6,8.3,2.0,1.6,11.9,0.15,0.47,8,2,3,0.9,0.25,2.81,4.65,-2.72,-1.62,4.27,-15.0,40.4,-55.4,-2.7,-3.3,53.8,-57.1,-2.8,186,,,6,0,0,0.3
,Aug 26 '95,Pointe-Claire,QC,CAN,CA,71,185,L,2013,3,80,Y,19,Anthony,Duclair,NYR,NYR,,LW,18,1,6,4,7,4,18,8,10,5.6%,2.8%,218.8,12.2,312,17.3,0.70,39,10.56,11.1%,66.7%,77.8%,0,0,0.0%,.0,,,32,6,5,8,6,5,8.8,1.6,1.4,2.2,1.6,1.4,4,2,0,0,0,0,15,2.6,,, ,,0,4,0,0,0,0,0,0,0%,0.3,0.4,0.7,0.04,0.19,2,4.0,3.5,2.4,0.9,0.6,0.0,1.5,0.08,0.41,0,0,2,0,0.09,0.33,-0.83,0.21,-1.09,-1.29,-16.0,-18.3,2.2,0.7,-26.7,-23.5,-3.3,-1.0,62,,,0.298,0,0.364,1.3
55,Jul 25 '94,Regina,SK,CAN,CA,72,189,R,2012,1,7,Y,20,Matt,Dumba,MIN,MIN,,D,58,8,8,3,16,13,86,39,63,9.3%,4.3%,870.6,15.0,1129,19.5,0.77,25,1.75,16.0%,16.0%,32.0%,0,0,0.0%,.0,,,61,42,51,39,28,9,4.2,2.9,3.5,2.7,1.9,0.6,23,9,1,0,0,0,117,3.8,,, ,,1,9,1,0,2,0,0,0,0%,1.6,3.1,4.7,0.08,0.32,1,20.8,17.4,10.3,2.2,2.7,0.0,5.0,0.09,0.34,2,0,1,0,0.29,0.36,-1.23,3.63,3.23,6.28,4.6,-13.6,18.2,1.5,-1.7,-26.3,24.6,2.0,131,,,1.129,0,0.85,3.4
37,Oct 06 '90,Ville Degelis,QC,CAN,CA,70,184,R,2009,5,139,Y,24,Gabriel,Dumont,MTL,MTL,,C,3,0,0,0,0,-1,4,0,1,0.0%,0.0%,27.4,9.1,39,13.0,0.70,0,0.00,0.0%,0.0%,0.0%,11,2,84.6%,6.1,,,3,8,2,0,0,0,6.6,17.5,4.4,0.0,0.0,0.0,0,0,0,0,0,0,10,0.0,,, ,,0,0,0,0,0,0,0,0,0%,-0.1,0.0,-0.1,-0.03,-0.22,5,0.4,0.4,-1.1,-0.2,-0.1,0.0,-0.2,-0.07,-0.44,0,0,0,0.06,-0.07,0.08,0,0,-0.42,-0.35,1.8,-5.2,7.0,16.4,2.8,0.0,2.8,6.4,13,,,0.039,0,0,-0.2
8,Sep 06 '91,Biddeford,ME,USA,US,76,207,L,2009,2,51,Y,23,Brian,Dumoulin,PIT,PIT,,D,8,1,0,0,1,0,4,0,1,25.0%,20.0%,125.4,15.7,178,22.3,0.70,0,0.00,16.7%,0.0%,16.7%,0,0,0.0%,.0,,,24,11,9,0,3,0,11.5,5.3,4.3,0.0,1.4,0.0,2,1,0,0,0,0,22,0.5,,, ,,0,2,0,0,0,0,0,0,0%,0.1,0.3,0.3,0.04,0.14,3,2.9,3.2,-0.4,-0.2,0.3,0.0,0.1,0.01,0.05,0,0,1,0,0.01,0.1,-1.06,-1.29,0.9,-1.34,-15.7,5.8,-21.4,-11.6,-14.3,6.4,-20.7,-11.2,27,,,0.131,0,0.01,0.0
9,Apr 07 '79,Laval,QC,CAN,CA,73,205,L,,,,,35,Pascal,Dupuis,PIT,PIT,,RW/LW,16,6,5,3,11,2,44,10,11,13.6%,9.2%,266.4,16.6,374,23.4,0.71,29,6.60,42.9%,35.7%,78.6%,1,0,100.0%,.1,,,16,20,8,10,5,6,3.6,4.5,1.8,2.3,1.1,1.4,4,2,0,0,0,0,32,-2.4,,, ,,2,3,0,0,1,0,0,0,0%,1.2,0.4,1.6,0.10,0.36,6,6.4,6.3,1.7,2.0,0.9,0.0,2.9,0.18,0.65,2,0,1,0.01,-0.54,0.46,0.79,0.09,1.93,2.74,10.6,0.4,10.2,3.2,13.7,9.2,4.5,1.4,186,66,Blood clots,3.75,3.018,0,-3.9
39,Jun 22 '83,Spokane,WA,USA,US,71,175,R,2002,4,116,,31,Patrick,Dwyer,CAR,CAR,,RW,71,5,7,4,12,-12,77,28,33,6.5%,3.6%,906.9,12.8,1297,18.3,0.70,58,3.82,26.3%,36.8%,63.2%,5,14,26.3%,.4,,,88,145,38,28,14,26,5.8,9.6,2.5,1.9,0.9,1.7,10,5,0,0,0,0,193,2.8,,, ,,1,15,0,0,0,0,0,0,0%,-0.7,0.9,0.2,0.00,0.01,5,15.6,21.9,-5.8,-2.1,4.4,0.0,2.3,0.03,0.15,0,0,1,-0.04,-1.29,1.57,-0.99,-1.5,-1.72,-3.97,-65.8,61.3,-127.1,-10.4,-38.4,37.0,-75.4,-6.2,186,6,Lower body,0.9,0.066,0,1.6
20,May 24 '91,Winnipeg,MB,CAN,CA,72,190,L,2009,3,85,,23,Cody,Eakin,DAL,DAL,,C,78,19,21,6,40,-1,142,63,62,13.4%,7.1%,1341.1,17.2,1933,24.8,0.69,41,1.83,32.8%,36.2%,69.0%,656,636,50.8%,25.1,38,18,78,62,59,64,41,68,3.5,2.8,2.6,2.9,1.8,3.0,26,13,0,0,0,0,147,-2.9,,, ,,3,18,2,1,6,0,1,1,100%,2.9,1.1,4.0,0.05,0.18,7,26.7,30.4,0.8,5.4,3.5,0.0,8.9,0.11,0.40,3,2,2,0.74,-0.96,1.73,2.92,1.06,2.7,8.19,-32.2,25.2,-57.3,-3.4,-21.2,3.5,-24.7,-1.5,186,3,Lower body,1.9,0.07,0,6.0
18,May 01 '84,Calgary,AB,CAN,CA,72,200,R,2003,1,29,,30,Patrick,Eaves,DAL,DAL,,RW,47,14,13,6,27,12,91,51,40,15.4%,7.7%,644.7,13.7,932,19.8,0.69,60,5.58,29.2%,27.1%,56.3%,2,3,40.0%,.1,,,38,69,27,51,10,18,3.5,6.4,2.5,4.7,0.9,1.7,8,4,0,0,0,0,104,8.9,1,0,0%,0,3,13,0,0,2,1,0,0,0%,2.8,1.1,3.9,0.08,0.36,6,15.1,12.1,15.2,5.2,1.9,-0.3,6.8,0.14,0.63,0,2,2,0,0.38,0.84,6.04,1.56,2.34,11.16,18.1,-1.5,19.6,2.2,32.7,-14.2,46.9,5.3,186,31,"Ankle, Concussion, Foot",0.65,0.166,0,6.6
25,Jan 02 '83,Vernon,BC,CAN,CA,69,174,L,,,,,32,Andrew,Ebbett,PIT,PIT,,C,24,1,5,3,6,1,21,5,11,4.8%,2.7%,216.1,9.0,324,13.5,0.67,36,9.86,16.7%,83.3%,100.0%,39,47,45.3%,6.1,,,38,10,12,5,3,6,10.5,2.8,3.3,1.4,0.8,1.7,2,1,0,0,0,0,24,-0.3,,, ,,0,6,0,0,0,0,0,0,0%,0.2,0.3,0.5,0.02,0.14,4,4.3,5.2,0.3,0.3,0.9,0.0,1.2,0.05,0.33,0,1,0,0.01,-0.59,0.49,-0.77,0.61,-0.73,-0.98,-9.2,-7.0,-2.2,-0.7,-16.7,-5.3,-11.5,-3.6,83,,,0.245,0,0,1.2
14,May 15 '90,Regina,SK,CAN,CA,71,183,R,2008,1,22,,24,Jordan,Eberle,EDM,EDM,,RW/C,81,24,39,25,63,-16,183,52,67,13.1%,7.9%,1542.4,19.0,1996,24.6,0.77,235,9.15,29.3%,47.6%,76.8%,1,5,16.7%,.1,,,164,62,36,53,73,37,6.4,2.4,1.4,2.1,2.8,1.4,24,12,0,0,0,0,122,0.3,12,2,17%,0,7,21,0,0,2,0,0,1,100%,5.6,1.2,6.8,0.08,0.26,6,37.3,30.0,11.0,9.9,2.6,-1.4,11.1,0.14,0.43,3,5,2,-0.03,-0.94,2.29,7.76,0.9,3.84,13.82,-57.0,1.3,-58.3,-2.8,-75.3,2.7,-78.0,-3.8,186,1,Undisclosed,6,0.073,0,-0.5
23,Apr 21 '86,Ostersund,,SWE,SE,75,215,L,2004,3,91,,28,Alexander,Edler,VAN,VAN,,D,74,8,23,8,31,13,175,64,125,4.6%,2.2%,1774.5,24.0,2259,30.5,0.79,71,2.39,10.8%,31.1%,41.9%,0,1,0.0%,.0,,,164,94,126,64,72,24,5.5,3.2,4.3,2.2,2.4,0.8,54,27,0,0,0,0,274,-9.5,,, ,,2,15,1,0,2,0,0,0,0%,2.2,4.7,6.9,0.09,0.23,5,40.0,35.8,10.4,2.9,5.7,0.0,8.6,0.12,0.29,1,3,5,-0.01,-0.55,-0.84,0.07,6.44,-1.85,3.26,20.3,-76.4,96.7,4.5,10.1,-89.0,99.1,4.6,186,8,Lower body,5,0.488,0,-0.9
10,Jul 06 '82,Moers,,DEU,DE,74,205,L,2001,4,106,,32,Christian,Ehrhoff,PIT,PIT,,D,49,3,11,6,14,8,110,57,59,2.7%,1.3%,1066.2,21.8,1281,26.1,0.83,54,3.06,6.7%,24.4%,31.1%,0,0,0.0%,.0,,,76,73,49,57,21,12,4.3,4.1,2.8,3.2,1.2,0.7,26,13,0,0,0,0,148,-0.8,,, ,,0,14,0,0,3,0,0,0,0%,0.6,3.1,3.7,0.08,0.21,4,21.9,22.0,6.3,0.2,3.1,0.0,3.4,0.07,0.19,2,0,0,0,0.54,-0.1,-2.1,0.16,-1.8,-3.3,3.5,29.7,-26.2,-1.9,-20.5,41.3,-61.8,-4.4,186,33,"Concussion, Head, Lower body, Undisclosed",4,0.293,0,-3.9
5,Feb 07 '96,Windsor,ON,CAN,CA,76,216,R,2014,1,1,Y,18,Aaron,Ekblad,FLA,FLA,,D,81,12,27,10,39,12,170,68,113,7.1%,3.4%,1766.6,21.8,1966,24.3,0.90,112,3.81,14.6%,32.9%,47.6%,0,0,0.0%,.0,,,136,109,80,68,41,26,4.6,3.7,2.7,2.3,1.4,0.9,32,16,0,0,0,0,221,6.7,1,0,0%,0,0,23,0,0,4,0,0,0,0%,3.5,5.0,8.5,0.10,0.29,3,39.7,32.7,14.4,6.3,4.9,-0.3,10.9,0.13,0.37,1,3,4,0,0.13,0.74,-2.59,3.85,2.05,4.18,-47.8,-38.1,-9.7,-0.4,-23.3,-26.0,2.7,0.1,186,1,Flu,3.775,0.046,2.85,4.0
14,May 24 '90,Borlange,,SWE,SE,76,204,L,2009,4,102,,24,Mattias,Ekholm,NSH,NSH,,D,80,7,11,3,18,12,86,25,87,8.1%,3.5%,1520.7,19.0,1983,24.8,0.77,34,1.36,10.8%,16.9%,27.7%,0,0,0.0%,.0,,,147,57,102,25,45,30,5.8,2.2,4.0,1.0,1.8,1.2,52,26,0,0,0,0,211,-6.7,,, ,,2,23,1,0,1,0,0,0,0%,0.9,4.1,5.0,0.06,0.20,2,28.8,30.8,4.7,0.7,4.8,0.0,5.5,0.07,0.22,0,0,0,0.01,0.4,-1.29,-0.09,6.61,3.17,8.81,17.0,-128.5,145.5,6.7,11.2,-81.4,92.7,4.3,186,2,Upper body,1.038,0.025,0,4.5
23,Jul 17 '91,Karlskrona,,SWE,SE,74,200,L,2009,1,6,,23,Oliver,Ekman-Larsson,ARI,ARI,,D,82,23,20,13,43,-18,264,127,180,8.7%,4.0%,2067.5,25.2,2424,29.6,0.85,145,4.19,27.7%,24.1%,51.8%,0,0,0.0%,.0,,,174,167,77,127,46,30,5.0,4.8,2.2,3.7,1.3,0.9,40,20,0,0,0,0,284,4.6,2,0,0%,0,2,18,3,2,7,0,0,0,0%,4.8,4.0,8.8,0.11,0.26,7,46.2,42.1,11.2,7.9,3.0,-0.5,10.3,0.13,0.30,6,3,5,0,-0.03,0.79,2.54,-0.65,4.27,6.92,43.2,-140.1,183.3,7.7,26.8,-91.0,117.8,4.9,186,,,5.5,0,0,-0.2
26,Apr 13 '76,Trebic,,CZE,CZ,73,195,L,1994,2,51,,38,Patrik,Elias,NJD,NJD,,C/LW,69,13,21,12,34,-20,114,47,36,11.4%,6.6%,1217.3,17.6,1636,23.7,0.74,155,7.62,36.1%,58.3%,94.4%,263,410,39.1%,17.0,23,9,70,23,25,47,40,18,3.5,1.1,1.2,2.3,2.0,0.9,12,6,0,0,0,0,60,-0.8,5,3,60%,1,5,17,0,0,1,0,0,0,0%,1.9,0.8,2.6,0.04,0.13,7,25.1,26.1,-16.3,2.6,1.3,1.3,5.3,0.08,0.26,2,2,2,-0.48,-1.64,2.53,1.93,-0.61,0.37,2.1,-3.6,-34.4,30.8,2.2,3.8,-15.5,19.3,1.3,186,13,"Back, Groin, Illness",5.5,0.201,0,-5.2
81,May 08 '89,Rodovre,,DNK,DK,74,209,L,2007,1,13,,25,Lars,Eller,MTL,MTL,,C,77,15,12,8,27,-6,150,47,45,10.0%,6.2%,1193.5,15.5,1630,21.2,0.73,95,4.80,39.5%,31.6%,71.1%,405,379,51.7%,16.1,8,5,138,76,37,48,30,29,6.9,3.8,1.9,2.4,1.5,1.5,42,21,0,0,0,0,155,-1.8,2,0,0%,0,3,23,1,0,7,1,0,0,0%,1.4,1.1,2.5,0.03,0.13,3,23.1,24.4,-13.6,1.6,1.8,-0.5,2.8,0.04,0.14,0,3,2,0.62,0.11,-0.44,1.32,-2.21,0.31,-0.29,-8.9,-60.2,51.3,3.0,17.0,-42.8,59.7,3.5,186,4,Upper body,3.5,0.171,0,-3.5
7,Nov 05 '88,Strathmore,AB,CAN,CA,77,220,L,2007,1,10,,26,Keaton,Ellerby,WPG,WPG,,D,1,0,1,0,1,-1,0,0,1,0.0%,0.0%,17.0,17.0,22,22.0,0.77,0,0.00,0.0%,0.0%,0.0%,0,0,0.0%,.0,,,3,1,1,0,1,0,10.6,3.5,3.5,0.0,3.5,0.0,0,0,0,0,0,0,2,0.1,,, ,,0,0,0,0,0,0,0,0,0%,0.1,-0.1,0.0,0.00,0.00,4,0.1,0.1,0.0,0.3,0.0,0.0,0.3,0.30,1.06,0,0,0,0,0,0,0,0,0,0,-2.9,-1.3,-1.6,-6.0,-6.7,-1.7,-5.0,-19.1,35,,,0.132,0,0,0.2
46,Jan 30 '91,Vancouver,BC,CAN,CA,73,190,R,2009,2,49,,24,Stefan,Elliott,COL,COL,,D,5,0,0,0,0,-2,10,3,6,0.0%,0.0%,69.7,13.9,97,19.4,0.72,0,0.00,0.0%,0.0%,0.0%,0,0,0.0%,.0,,,2,2,5,3,2,1,1.7,1.7,4.3,2.6,1.7,0.9,2,1,0,0,0,0,9,-0.7,,, ,,0,0,0,0,0,0,0,0,0%,-0.1,0.0,-0.1,-0.02,-0.09,0,1.0,1.1,-1.9,-0.2,-0.3,0.0,-0.5,-0.10,-0.43,0,0,0,0,-0.09,-0.01,-0.58,-0.01,-0.43,-1.12,1.1,-11.0,12.1,11.6,-0.5,-6.3,5.7,5.5,59,,,0.27,0,0,-0.7
37,Aug 31 '81,Welland,ON,CAN,CA,72,208,L,,,,,33,Matt,Ellis,BUF,BUF,,LW,39,1,1,1,2,-12,29,6,5,3.4%,2.5%,324.6,8.3,527,13.5,0.62,23,4.29,20.0%,20.0%,40.0%,100,105,48.8%,8.7,,,33,10,16,6,2,12,6.1,1.8,3.0,1.1,0.4,2.2,4,2,0,0,0,0,30,-1.4,,, ,,0,7,0,0,1,0,0,0,0%,-0.6,-0.1,-0.7,-0.02,-0.13,3,6.4,8.3,-8.9,-2.0,-0.3,0.0,-2.3,-0.06,-0.43,1,0,0,0.1,-0.45,0.53,0.44,-1.09,-1.82,-2.29,52.2,6.9,45.3,10.0,43.8,11.7,32.1,7.1,82,,,0.242,0,0,-2.3
4,Jan 03 '91,Hamilton,ON,CAN,CA,70,175,R,2009,1,11,,24,Ryan,Ellis,NSH,NSH,,D,58,9,18,11,27,8,118,40,54,7.6%,4.2%,1101.0,19.0,1405,24.2,0.78,128,6.98,17.3%,34.6%,51.9%,0,0,0.0%,.0,,,87,41,74,40,27,21,4.7,2.2,4.0,2.2,1.5,1.1,27,6,1,1,0,0,143,6.7,5,1,20%,1,0,17,0,0,0,0,0,0,0%,2.7,2.9,5.6,0.10,0.31,4,22.3,21.5,3.3,5.8,3.1,-0.4,8.5,0.15,0.46,1,1,2,0,0.56,0.97,-0.72,2.23,0.89,3.93,15.5,-58.4,73.9,4.9,7.0,-45.5,52.5,3.4,186,21,Lower body,2.5,0.64,0,4.4
74,Apr 25 '86,Togliatti,,RUS,RU,74,217,L,2004,3,84,,28,Alexei,Emelin,MTL,MTL,,D,68,3,11,3,14,5,43,27,50,7.0%,2.5%,1347.6,19.8,1748,25.7,0.77,22,0.97,7.3%,26.8%,34.1%,0,0,0.0%,.0,,,140,204,116,27,56,16,6.2,9.1,5.2,1.2,2.5,0.7,59,22,1,0,1,0,380,-1.8,,, ,,1,19,0,0,0,0,0,0,0%,0.2,3.4,3.7,0.05,0.16,5,21.4,31.9,-5.1,0.4,4.1,0.0,4.4,0.06,0.20,0,1,0,0,0.25,-0.59,-5.26,-0.45,1.72,-4.33,-83.1,-14.2,-68.9,-3.6,-76.5,-4.0,-72.5,-3.8,186,14,Upper body,4.1,0.1,0,-3.2
