,DOB,Birth City,S/P,Cntry,Nat,Ht,Wt,Sh,Dft Yr,Rd,Ovrl,Debut,Seas,nhlID,Last Name,First Name,Team(s),GP,GS,GR,W,L,T,OTL,SA,SV,GA,SV%,GAA,GSAA,GSAA,T-SAX,SAX,MIN,SO,G,A,PTS,PIM,PenT,PenD,PenDf,SH%,Supp,QoC,QoS,StMin,StSV,StGA,StSV%,StGAA,QS,QS,QS%,RBS,Pull,ReMin,ReSV,ReGA,ReSV%,ReGAA,HP S,HP G,HP SV%,HighS,HighG,HighSV%,MedS,MedG,LowS,LowG,AdjSV%,EVSA,EVGA,EV SV%,PP SA,PP GA,PP SV%,SH SA,SH GA,SH SV%,AdjSV%,CA,FA,SA,xGA,GA,SCA,HDCA,HDGA,TrueSV%,ExpSV%,xGSAA,ZS%,OZS,DZS,NZS,CF,FF,SF,GF,SCF,HDCF,HDGF,SOS,SOG,SO SV%,SOW,SOL,NMC,Status,Salary,Cap Hit,GVA,Pace,GPS,Ginj,Injuries,CHIP,GP,GS,W,L,OTL,GA,SA,SO,PIM,MIN,QS,RBS,GPS
36,1992/11/26,South St. Paul,MN,USA,USA,72,189,L,2011,6,178,2017,1,8476330,Wilcox,Adam,BUF,1,0,1,0,0,0,0,14,14,0,1.000,0.00,1.2,1.4,1.2,0.0,2319,0,0,0,0,0,0,0,0,6.7%,3.10,,5.79,,,,.000,0.00,0,,0.0%,,,38.7,14,0,1.000,0.00,,,,3,0,1.000,6,0,5,0,1.000,10,0,1.000,4,0,1.000,0,0,.000,.972,30,24,14,1.4,0,4,4,0,1.000,.901,1.4,73.3%,22,8,11,47,33,30,2,18,5,1,,, ,,,,UFA,"$650,000","$650,000",0,119.5,0.2,,,,1,0,0,1,0,0,14,0,0,39,0,0,0.2
37,1990/05/05,Saskatoon,SK,CAN,CAN,77,215,L,2009,6,161,2012,6,8475311,Kuemper,Darcy,"LAK, ARI",29,25,4,12,7,0,5,833,766,67,.920,2.52,5.1,10.2,5.5,8.4,95753,4,0,1,1,0,0,1,1,8.9%,2.74,8.70%,8.72,1473.5,702,63,.918,2.57,12,12,48.0%,3,1,122.4,64,4,.941,1.96,,,,199,39,.804,298,20,336,8,.921,681,50,.927,122,14,.885,30,3,.900,.920,1578,1164,833,77.2,67,318,318,36,.942,.907,10.2,51.1%,546,523,508,1549,1149,824,73,761,283,33,2,0,1.000,1,0,,UFA,"$650,000","$650,000",19,117.6,5.3,,,,131,114,53,41,19,303,3441,11,6,7049,54,19,19.5
38,1985/02/13,Chicago,IL,USA,USA,74,201,L,2004,1,6,2008,9,8471219,Montoya,Al,"MTL, EDM",13,8,5,4,3,0,2,346,309,37,.893,3.21,-7.1,-3.8,-5.8,-5.7,41504,0,0,2,2,0,0,1,1,9.3%,3.12,9.19%,9.14,488.5,246,33,.882,4.05,1,1,12.5%,2,0,203.3,63,4,.940,1.18,,,,90,21,.767,125,13,131,3,.900,296,25,.916,41,11,.732,9,1,.889,.888,624,476,346,33.2,37,133,133,20,.922,.904,-3.8,49.8%,229,231,239,721,548,389,36,343,162,25,3,1,.960,1,0,,UFA,"$1,000,000","$1,062,500",2,116.7,1.2,31,"Concussion, Undisclosed, Upper body",545,168,136,67,49,24,405,4418,7,12,9170,77,22,23.7
39,1992/11/27,Härnösand,,SWE,SWE,75,192,L,2011,7,188,2014,4,8476341,Forsberg,Anton,CHI,35,30,5,10,16,0,4,921,836,85,.908,2.97,-5.3,2.1,-2.5,26.3,102887,0,0,1,1,0,0,0,0,7.9%,2.59,8.96%,8.7,1598.4,790,81,.907,3.04,14,14,46.7%,7,6,116.4,46,4,.920,2.06,,,,245,47,.808,318,28,358,10,.913,775,70,.910,111,15,.865,35,0,1.000,.906,1605,1204,921,87.1,85,346,346,49,.929,.905,2.1,54.9%,623,511,541,1849,1269,940,74,959,297,33,13,6,.818,1,2,,RFA,"$700,000","$750,000",15,120.9,4.7,4,Lower body,195,45,39,11,24,4,118,1194,0,0,2208,15,8,5.1
40,1986/01/21,Milford,CT,USA,USA,73,218,L,2005,3,72,2007,11,8471734,Quick,Jonathan,LAK,64,63,1,33,28,0,3,1867,1720,147,.921,2.40,14.6,23.9,16.7,10.3,220625,5,0,4,4,10,5,5,0,9.1%,2.71,8.75%,8.87,3642.0,1707,146,.921,2.41,37,38,60.3%,7,4,35.1,13,1,.929,1.71,,,,422,74,.825,689,48,756,25,.921,1521,114,.925,287,30,.895,59,3,.949,.921,3524,2665,1867,170.9,147,703,703,82,.945,.908,23.9,49.2%,1202,1241,1150,3441,2569,1831,166,1675,616,92,4,1,.989,1,0,,UFA,"$7,000,000","$5,800,000",51,113.6,12.2,,,,556,546,293,195,56,1233,14759,49,52,32448,305,77,94.1
41,1991/11/25,Rosenheim,,DEU,DEU,73,191,L,2010,4,112,2012,6,8475831,Grubauer,Philipp,WSH,35,28,7,15,10,0,3,953,880,73,.923,2.35,9.5,19.3,10.2,0.4,111888,3,0,1,1,0,0,1,1,9.0%,2.64,8.72%,9.43,1680.6,809,70,.920,2.50,19,19,67.9%,3,0,184.2,71,3,.959,0.98,,,,249,42,.831,347,27,357,4,.929,776,52,.933,155,20,.871,22,1,.955,.924,1834,1393,953,92.3,73,424,424,48,.948,.903,19.3,49.3%,634,652,580,1690,1264,909,82,834,309,36,2,2,.944,0,1,,RFA,"$1,500,000","$1,500,000",9,113.4,6.5,1,Undisclosed,18,101,79,43,31,11,201,2614,6,2,5273,49,8,18.1
42,1986/05/04,Regina,SK,CAN,CAN,78,218,L,2004,1,14,2009,9,8471227,Dubnyk,Devan,MIN,60,59,1,35,16,0,7,1769,1624,145,.918,2.52,8.1,-14.1,8.4,3.2,207019,5,0,3,3,12,6,5,-1,10.8%,3.23,8.67%,8.08,3430.3,1617,143,.919,2.50,36,35,59.3%,8,5,20.0,7,2,.778,6.00,,,,287,67,.767,592,52,890,26,.903,1491,110,.926,241,32,.867,37,3,.919,.917,3365,2479,1769,130.9,145,548,548,69,.942,.926,-14.1,46.8%,1036,1178,1114,3003,2299,1724,186,1505,677,106,17,5,.953,1,2,M-NTC,UFA,"$5,000,000","$4,333,333",29,110.7,11.0,6,Lower body,317,423,402,204,152,44,1019,12204,29,40,24089,222,53,76.9
43,1994/02/28,Stockholm,,SWE,SWE,75,195,L,2012,2,31,2017,1,8476861,Dansk,Oscar,VGK,4,3,1,3,0,0,0,93,88,5,.946,1.78,3.0,3.5,3.3,0.0,10116,1,0,0,0,0,0,0,0,16.7%,4.98,9.09%,9.17,154.8,78,4,.951,1.55,3,2,66.7%,0,1,13.8,10,1,.909,4.36,,,,21,3,.857,45,0,27,2,.938,77,3,.961,14,1,.929,2,1,.500,.943,160,121,93,8.5,5,40,40,3,.959,.909,3.5,49.1%,55,57,61,172,129,84,14,88,38,9,,, ,,,,RFA,"$650,000","$650,000",0,118.1,0.9,36,Lower body,285,4,3,3,0,0,5,93,1,0,169,3,0,0.9
44,1992/03/06,St-Hyacinthe,QC,CAN,CAN,75,210,R,2010,5,138,2014,4,8475839,Domingue,Louis,"ARI, TBL",19,16,3,7,9,0,1,578,517,61,.894,3.41,-11.0,-7.1,-11.5,-9.0,64426,0,0,0,0,2,1,1,0,9.8%,3.07,8.54%,8.75,960.9,469,54,.897,3.37,6,6,37.5%,3,0,112.9,48,7,.873,3.72,,,,141,30,.787,206,25,231,6,.897,470,42,.911,94,17,.819,14,2,.857,.896,1049,786,578,53.9,61,201,201,26,.922,.907,-7.1,47.6%,390,430,367,1019,779,562,55,539,223,36,4,1,.972,1,0,,RFA,"$1,100,000","$1,050,000",10,115.6,2.1,,,,96,82,34,44,8,258,2766,2,2,5187,41,12,13.9
45,1986/11/21,Denver,CO,USA,USA,79,225,L,2005,3,85,2008,9,8471750,Bishop,Ben,DAL,53,51,2,26,17,0,5,1437,1317,120,.916,2.49,4.4,2.0,5.2,-3.5,173210,5,0,1,1,4,2,3,1,8.7%,2.66,8.72%,8.53,2820.1,1294,119,.916,2.53,27,24,47.1%,8,7,66.7,23,1,.958,0.90,,,,296,49,.834,542,53,596,18,.914,1142,89,.922,245,28,.886,50,3,.940,.917,2760,1981,1436,122.0,120,480,480,50,.939,.915,2.0,46.4%,941,1085,980,2815,2057,1469,128,1439,589,70,7,1,.986,2,1,NMC,UFA,"$7,000,000","$4,916,667",23,115.9,8.7,13,Lower body,735,323,308,174,97,30,713,8751,24,30,18206,176,41,57
46,1986/03/18,Marblehead,MA,USA,USA,75,200,L,2004,1,26,2008,10,8471239,Schneider,Cory,NJD,40,40,0,17,16,0,6,1228,1114,114,.907,2.93,-7.7,3.5,-5.6,-18.0,139935,1,0,0,0,0,0,1,1,8.8%,2.78,8.83%,8.67,2332.3,1114,114,.907,2.93,19,19,47.5%,7,4,0.0,0,0,.000,0.00,,,,305,59,.807,469,40,436,15,.911,996,85,.915,196,27,.862,36,2,.944,.908,2266,1712,1228,117.5,114,390,390,59,.933,.904,3.5,49.0%,790,822,762,2102,1638,1224,108,1086,432,61,23,4,.934,2,2,NTC,UFA,"$6,000,000","$6,000,000",23,112.4,6.2,4,Lower body,195,370,354,161,140,52,832,10410,24,4,21193,210,42,70.1
47,1993/12/21,Toronto,ON,CAN,CAN,74,200,L,2012,1,24,2014,3,8476876,Subban,Malcolm,VGK,22,19,3,13,4,0,2,614,559,55,.910,2.68,-1.9,0.5,-2.5,112.5,73811,0,0,0,0,2,1,0,-1,9.8%,3.02,8.56%,8.41,1148.8,522,53,.908,2.77,8,8,42.1%,2,1,81.4,37,2,.949,1.48,,,,132,27,.795,224,21,247,5,.911,507,43,.915,89,11,.876,18,1,.944,.910,1172,871,614,53.5,55,213,213,30,.937,.913,-1.6,53.2%,427,376,386,1190,897,635,62,603,201,31,13,0,1.000,3,0,,RFA,"$650,000","$650,000",6,115.2,3.3,15,"Hand, Lower body",282,24,21,13,6,2,61,636,0,2,1292,8,4,2.9
48,1992/02/14,Ostrava,,CZE,CZE,74,181,L,2010,5,141,2012,6,8475852,Mrazek,Petr,"DET, PHI",39,33,6,14,13,0,6,1080,974,106,.902,3.03,-12.5,-7.3,-9.2,-12.0,125802,4,0,0,0,0,0,3,3,8.9%,2.78,8.97%,8.4,1888.2,885,97,.901,3.08,11,11,33.3%,8,4,208.5,89,9,.908,2.59,,,,247,55,.777,410,34,407,15,.904,912,78,.914,142,25,.824,26,3,.885,.900,2028,1516,1080,96.7,106,391,391,59,.930,.910,-9.3,50.4%,655,645,669,1947,1501,1084,97,951,370,56,16,6,.893,2,1,,RFA,"$4,150,000","$4,000,000",14,113.8,4.8,,,,183,160,78,64,23,446,4987,14,4,10069,81,29,27.5
49,1982/03/02,Are,,SWE,SWE,73,180,L,2000,7,205,2005,13,8468685,Lundqvist,Henrik,NYR,63,61,2,26,26,0,7,2036,1862,174,.915,2.98,2.2,11.5,5.5,-10.6,210152,2,0,1,1,0,0,3,3,8.9%,2.69,8.83%,8.3,3429.4,1818,170,.914,2.97,32,33,54.1%,9,8,73.1,44,4,.917,3.28,,,,488,87,.822,736,68,813,19,.916,1717,141,.918,271,31,.886,48,2,.958,.914,3614,2743,2037,185.5,174,751,751,86,.937,.909,11.5,49.4%,1118,1146,1109,3120,2398,1774,157,1668,718,102,22,9,.912,2,4,NMC,UFA,"$9,000,000","$8,500,000",35,115.4,11.9,5,"Back, Flu",299,805,674,431,275,83,1859,23028,63,16,47132,404,79,159.8
50,1994/07/25,Tyumen,,RUS,RUS,75,207,L,2012,1,19,2014,4,8476883,Vasilevskiy,Andrei,TBL,65,64,1,44,17,0,3,2075,1908,167,.920,2.62,12.6,-2.0,13.3,8.6,229511,8,0,2,2,14,3,2,-1,10.9%,3.50,8.69%,8.5,3817.0,1904,167,.919,2.63,36,36,56.3%,8,2,8.2,4,0,1.000,0.00,,,,348,70,.799,877,77,850,20,.913,1707,121,.929,325,44,.865,43,2,.953,.920,3636,2767,2075,165.0,167,618,618,84,.940,.920,-2.0,51.7%,1319,1230,1319,3839,2897,2054,223,1995,715,120,16,1,.992,5,1,,RFA,"$3,000,000","$3,500,000",30,117.2,13.2,,,,155,145,85,49,11,382,4616,12,16,8779,75,17,28.7
51,1979/04/04,Montreal,QC,CAN,CAN,75,217,L,1997,1,4,1999,18,8466141,Luongo,Roberto,FLA,35,33,2,18,11,0,2,1143,1062,81,.929,2.47,17.9,21.3,20.1,11.5,117958,3,0,2,2,0,0,1,1,7.6%,2.66,8.84%,9.01,1934.4,1045,81,.928,2.51,22,20,60.6%,3,2,31.6,17,0,1.000,0.00,,,,257,50,.805,418,23,468,8,.929,950,64,.933,157,16,.898,36,1,.972,.929,1965,1499,1142,102.3,81,366,366,43,.946,.910,21.3,47.2%,639,714,675,1985,1562,1141,87,965,374,47,10,3,.936,3,0,M-NTC,UFA,"$6,714,000","$5,333,333",22,120.6,8.5,4,Upper body,195,1001,574,471,376,119,2393,29719,76,46,57531,340,68,212.5
52,1987/07/28,St. Paul,MN,USA,USA,72,191,L,2005,4,112,2010,7,8471774,Stalock,Alex,MIN,28,23,5,10,10,0,4,787,716,71,.910,2.85,-2.9,-5.9,-1.3,-1.6,89716,1,0,0,0,0,0,3,3,8.1%,2.33,8.85%,8.6,1361.8,663,65,.911,2.86,13,13,56.5%,3,1,133.5,53,6,.898,2.70,,,,147,31,.789,304,29,336,11,.904,599,51,.915,163,18,.890,25,2,.920,.911,1541,1137,787,65.1,71,236,236,38,.938,.917,-5.9,47.8%,489,534,467,1276,983,714,58,594,271,36,10,2,.944,2,1,,UFA,"$650,000","$650,000",12,113.0,4.2,,,,92,71,35,30,11,202,2272,5,4,4849,39,10,12.6
53,1994/05/25,Thunder Bay,ON,CAN,CAN,76,178,L,2012,3,83,2015,3,8476899,Murray,Matt,PIT,49,45,4,27,16,0,3,1423,1290,133,.907,2.92,-9.9,-3.7,-8.7,-25.8,163978,1,0,1,1,2,1,1,0,9.1%,3.12,8.76%,8.889,2600.8,1236,125,.908,2.88,19,20,44.4%,6,3,132.2,54,8,.871,3.63,,,,356,69,.806,552,45,515,19,.911,1163,103,.911,221,29,.869,39,1,.974,.907,2519,1906,1423,128.5,133,541,541,60,.930,.910,-4.5,53.9%,1030,881,941,2720,2068,1554,142,1430,589,83,9,2,.976,2,1,,RFA,"$3,750,000","$3,750,000",13,115.0,7.0,4,Upper body,195,111,105,68,28,8,269,3228,6,2,6248,55,10,20
54,1994/01/22,Concord,NH,USA,USA,78,223,L,2012,3,75,2016,2,8476903,Gillies,Jon,CGY,11,9,2,3,5,0,1,280,251,29,.896,2.88,-4.8,-2.3,-4.3,-19.0,36296,0,0,0,0,2,1,1,0,7.5%,2.68,8.86%,8.76,536.1,229,24,.905,2.69,5,5,55.6%,2,0,68.8,22,5,.815,4.36,,,,70,14,.800,103,11,107,4,.900,220,25,.886,46,4,.913,14,0,1.000,.893,512,393,280,26.7,29,107,107,17,.926,.905,-2.3,52.5%,217,196,188,693,536,361,27,355,155,18,,, ,,,,RFA,"$725,000","$725,000",6,119.5,1.1,,,,12,10,4,5,1,30,308,0,2,665,6,2,1.4
55,1989/10/02,Herning,,DNK,DNK,76,230,L,2012,3,87,2013,5,8475883,Andersen,Frederik,TOR,66,66,0,38,21,0,5,2211,2029,182,.918,2.81,9.3,22.2,12.3,-0.4,233311,5,0,1,1,2,1,6,5,10.4%,3.21,8.79%,8.19,3888.5,2029,182,.918,2.81,37,37,56.1%,8,3,0.0,0,0,.000,0.00,,,,507,104,.795,833,54,871,24,.919,1881,148,.921,271,30,.889,59,4,.932,.917,3956,3059,2211,204.2,182,754,754,106,.941,.908,22.2,46.4%,1277,1476,1342,3834,2828,2008,208,2176,840,120,33,7,.942,6,2,M-NTC,UFA,"$5,000,000","$5,000,000",42,120.2,13.6,4,Upper body,195,257,246,148,63,31,622,7568,15,24,14661,143,33,47.9
56,1995/04/19,Forssa,,FIN,FIN,71,180,L,2013,4,99,2015,3,8477424,Saros,Juuse,NSH,26,23,3,11,5,0,7,810,749,61,.925,2.45,9.1,16.6,11.4,2.6,89800,3,0,3,3,0,0,2,2,8.9%,2.73,8.99%,8.93,1406.1,710,59,.923,2.52,14,14,60.9%,2,0,90.6,39,2,.951,1.32,,,,185,29,.843,353,25,269,7,.928,657,46,.930,144,14,.903,9,1,.889,.925,1474,1108,810,77.6,61,308,308,32,.945,.904,16.6,47.6%,472,519,477,1490,1090,762,68,671,250,31,14,7,.774,0,4,,RFA,"$742,500","$692,500",11,118.8,5.6,,,,48,43,21,14,10,111,1447,4,0,2755,27,3,10
57,1994/04/28,Pori,,FIN,FIN,75,182,L,2012,3,62,2015,3,8476914,Korpisalo,Joonas,CBJ,18,17,1,8,8,0,1,564,506,58,.897,3.32,-9.2,-5.2,-6.5,-10.2,62929,0,0,0,0,0,0,0,0,7.9%,2.69,9.15%,8.5,1028.8,496,56,.899,3.27,7,7,41.2%,3,0,20.0,10,2,.833,6.00,,,,141,23,.837,208,26,215,9,.900,469,48,.898,75,8,.893,20,2,.900,.897,991,738,564,52.8,58,200,200,26,.921,.906,-5.2,52.9%,379,338,323,1012,817,596,47,510,191,24,5,0,1.000,2,0,,RFA,"$700,000","$900,000",7,114.6,2.2,,,,63,60,31,24,6,174,1934,1,2,3643,29,6,10.5
58,1995/04/10,North Bay,ON,CAN,CAN,76,210,L,,,,2017,1,8478965,Appleby,Ken,NJD,3,1,2,0,1,0,0,55,52,3,.945,1.45,1.8,2.2,2.1,0.0,7460,0,0,0,0,0,0,0,0,1.7%,0.48,9.52%,8.71,59.7,24,3,.889,3.01,0,0,0.0%,0,0,64.6,28,0,1.000,0.00,,,,13,1,.923,24,1,18,1,.945,45,2,.956,7,0,1.000,3,1,.667,.954,101,78,55,5.2,3,24,24,1,.962,.905,2.2,57.1%,44,33,29,105,77,59,1,45,20,0,,, ,,,,RFA,"$690,000","$635,000",2,99.4,0.5,,,,3,1,0,1,0,3,55,0,0,124,0,0,0.5
59,1989/12/29,Toijala,,FIN,FIN,73,205,L,2008,4,106,2017,1,8474667,Sateri,Harri,FLA,9,7,2,4,4,0,0,271,247,24,.911,2.92,-0.5,-0.2,0.4,0.0,29556,0,0,0,0,0,0,0,0,7.4%,2.68,9.06%,9.77,413.3,204,17,.923,2.47,5,5,71.4%,0,0,79.3,43,7,.860,5.30,,,,62,16,.742,100,5,109,3,.912,219,17,.922,41,5,.878,11,2,.818,.913,455,361,271,23.8,24,82,82,16,.934,.912,-.2,55.0%,183,150,156,534,419,297,22,253,89,12,,, ,,,,UFA,"$750,000","$750,000",2,120.5,1.5,,,,9,7,4,4,0,24,271,0,0,493,5,0,1.5
60,1985/11/19,Calgary,AB,CAN,CAN,75,206,L,2004,3,89,2017,1,8471301,Glass,Jeff,CHI,15,13,2,3,7,0,3,452,406,46,.898,3.36,-6.9,-1.8,-5.6,0.0,49254,0,0,0,0,2,1,1,0,5.9%,1.97,8.92%,8.69,770.0,391,41,.905,3.19,5,6,46.2%,2,0,50.9,15,5,.750,5.90,,,,116,22,.810,195,19,141,5,.907,374,35,.906,69,9,.870,9,2,.778,.897,841,626,452,44.2,46,189,189,23,.927,.902,-1.8,53.9%,321,274,230,888,640,459,27,452,154,13,,, ,,,,UFA,"$650,000","$612,500",10,126.4,1.8,,,,15,13,3,7,3,46,452,0,2,821,5,2,1.8
61,1992/08/19,Jihlava,,CZE,CZE,75,202,L,,,,2016,2,8479496,Rittich,David,CGY,21,16,5,8,6,0,3,512,463,49,.904,2.92,-4.7,-3.7,-4.2,2.2,60494,0,0,0,0,14,3,1,-2,8.7%,2.86,8.75%,9,936.1,445,45,.908,2.88,10,10,62.5%,3,1,72.1,18,4,.818,3.33,,,,108,25,.769,181,18,223,6,.900,415,38,.908,84,10,.881,13,1,.923,.905,967,720,512,45.3,49,187,187,25,.932,.911,-3.7,49.9%,364,365,329,1039,776,551,48,521,218,26,6,4,.846,0,2,,RFA,"$725,000","$725,000",6,119.4,2.4,,,,22,16,8,6,3,50,522,0,14,1028,10,3,2.5
62,1990/01/10,North Vancouver,BC,CAN,CAN,76,195,L,,,,2013,5,8474889,Jones,Martin,SJS,60,60,0,30,22,0,6,1699,1554,145,.915,2.55,2.0,11.5,4.6,-2.8,204944,4,0,0,0,2,1,1,0,8.6%,2.78,8.81%,8.52,3415.7,1554,145,.915,2.55,36,36,60.0%,9,7,0.0,0,0,.000,0.00,,,,402,71,.823,646,58,652,16,.917,1418,122,.914,223,21,.906,58,2,.966,.914,3309,2379,1700,156.5,145,656,656,89,.939,.908,11.5,51.2%,1166,1111,1163,3478,2576,1837,158,1750,701,91,36,12,.868,4,3,,UFA,"$3,000,000","$3,000,000",13,119.2,9.9,4,Lower body,195,224,219,118,79,18,502,5965,19,2,12872,129,29,36.3
63,1986/01/29,Fussen,,DEU,DEU,73,227,L,2004,3,94,2007,9,8471306,Greiss,Thomas,NYI,27,25,2,13,8,0,2,879,784,95,.892,3.82,-18.9,-15.5,-18.5,-21.2,89505,1,0,0,0,0,0,0,0,11.8%,3.62,8.69%,8.18,1441.1,766,93,.892,3.87,9,9,36.0%,7,3,50.7,18,2,.900,2.37,,,,188,56,.702,355,31,336,8,.891,735,72,.902,119,20,.832,25,3,.880,.891,1575,1193,879,79.5,95,313,313,59,.920,.910,-15.5,49.0%,497,518,511,1400,1026,763,90,724,291,55,2,2,.964,0,1,,UFA,"$3,000,000","$3,333,333",15,119.7,3.0,4,Lower body,195,208,181,98,67,22,506,5775,8,6,11325,98,27,33.6
64,1995/12/08,San Diego,CA,USA,USA,76,192,L,2014,2,36,2017,1,8477967,Demko,Thatcher,VAN,1,1,0,1,0,0,0,30,26,4,.867,3.91,-1.4,-1.7,-1.6,0.0,3681,0,0,0,0,0,0,0,0,17.2%,4.89,8.16%,7.73,61.4,26,4,.867,3.91,0,0,0.0%,0,0,0.0,0,0,.000,0.00,,,,6,2,.667,13,2,11,0,.868,28,2,.929,2,2,.000,0,0,.000,.765,63,43,30,2.4,4,9,9,1,.907,.922,-1.7,28.9%,11,27,29,45,38,29,5,29,11,2,,, ,,,,RFA,"$925,000","$925,000",1,105.6,0.0,,,,1,1,1,0,0,4,30,0,0,61,0,0,0
65,1993/05/19,Commerce,MI,USA,USA,76,207,L,2012,5,130,2015,3,8476945,Hellebuyck,Connor,WPG,67,64,3,44,11,0,9,2048,1892,156,.924,2.36,21.2,19.0,24.6,27.5,237954,6,0,2,2,0,0,2,2,10.8%,3.39,8.80%,8.8,3858.0,1834,153,.923,2.38,39,39,60.9%,6,1,108.0,58,3,.951,1.67,,,,404,76,.812,754,59,889,21,.919,1599,114,.929,385,38,.901,64,4,.938,.925,3849,2855,2047,175.0,156,657,657,83,.945,.915,19.0,49.0%,1358,1415,1243,3799,2867,2071,224,1853,683,95,22,6,.937,4,2,,RFA,"$2,250,000","$2,250,000",38,115.7,14.0,,,,149,143,83,41,14,358,4303,12,0,8433,78,21,26.4
66,1993/07/14,Pittsburgh,PA,USA,USA,75,223,L,2011,2,39,2013,5,8476434,Gibson,John,ANA,60,60,0,31,18,0,7,1872,1733,139,.926,2.43,23.0,32.5,25.5,7.7,205709,4,0,1,1,16,4,3,-1,9.5%,2.77,8.79%,8.49,3428.5,1733,139,.926,2.43,39,36,60.0%,4,9,0.0,0,0,.000,0.00,,,,435,75,.828,806,54,632,10,.930,1525,111,.927,299,25,.916,48,3,.938,.926,3540,2674,1873,171.5,139,723,723,84,.948,.908,32.5,46.4%,1052,1213,1089,3142,2389,1670,158,1565,662,102,19,7,.931,1,3,,RFA,"$2,100,000","$2,300,000",24,116.9,13.2,4,Upper body,195,178,171,93,55,20,389,5062,16,22,10194,104,18,34.9
67,1995/04/29,Surrey,BC,CAN,CAN,74,194,L,2013,2,44,2016,2,8477465,Jarry,Tristan,PIT,26,23,3,14,6,0,2,687,624,63,.908,2.77,-3.5,0.9,-2.8,19.4,81836,2,0,2,2,4,2,3,1,10.0%,3.39,8.73%,9.42,1247.7,579,55,.913,2.64,14,13,56.5%,4,5,116.3,45,8,.849,4.13,,,,150,34,.773,264,24,273,5,.908,561,51,.909,104,11,.894,22,1,.955,.908,1284,931,687,63.9,63,272,272,43,.932,.907,.9,48.8%,450,472,435,1348,1047,767,77,721,269,38,3,2,.947,0,1,,RFA,"$650,000","$630,833",10,115.8,3.5,,,,27,24,14,7,2,66,712,2,4,1423,14,4,3.6
68,1992/12/27,Karkkila,,FIN,FIN,73,188,L,2011,2,49,2015,2,8476444,Gibson,Christopher,NYI,8,8,0,2,3,0,2,284,258,26,.908,3.65,-1.4,0.6,-0.8,7.6,25612,0,0,0,0,0,0,0,0,9.2%,2.81,8.88%,9.49,426.9,258,26,.908,3.65,5,5,62.5%,3,2,0.0,0,0,.000,0.00,,,,64,12,.813,113,12,107,2,.911,233,20,.914,48,5,.896,3,1,.667,.905,514,392,284,26.6,26,110,110,17,.934,.906,.6,41.9%,127,176,139,396,291,217,20,226,92,10,3,2,.800,0,1,,UFA,"$650,000","$650,000",5,127.9,1.5,,,,12,10,3,4,3,37,377,0,0,621,5,4,1.6
69,1996/05/11,Comox,BC,CAN,CAN,78,202,L,2015,3,76,2017,1,8478499,Hill,Adin,ARI,4,4,0,1,3,0,0,129,115,14,.891,3.49,-2.8,0.3,-2.9,0.0,14445,0,0,0,0,0,0,0,0,8.1%,2.24,8.62%,9.09,240.8,115,14,.891,3.49,2,2,50.0%,1,0,0.0,0,0,.000,0.00,,,,41,8,.805,41,2,48,4,.905,118,12,.898,9,2,.778,2,0,1.000,.883,237,182,130,14.3,14,63,63,8,.923,.890,.3,53.4%,86,75,77,211,148,111,9,104,47,3,5,1,.667,1,0,,RFA,"$742,500","$725,833",3,111.7,0.4,,,,4,4,1,3,0,14,129,0,0,241,2,1,0.4
70,1996/03/29,Traverse City,MI,USA,USA,76,209,L,2014,2,59,2017,1,8477990,Halverson,Brandon,NYR,1,0,1,0,0,0,0,6,5,1,.833,4.78,-0.5,-0.1,-0.5,0.0,753,0,0,0,0,0,0,0,0,9.1%,4.78,,9,,,,.000,0.00,0,,0.0%,,,12.6,5,1,.833,4.78,,,,2,1,.500,1,0,3,0,.888,6,1,.833,0,0,.000,0,0,.000,.687,8,7,6,0.9,1,3,3,1,.857,.853,-.1,100.0%,8,0,4,18,14,11,1,7,2,0,,, ,,,,RFA,"$742,500","$772,500",0,124.3,0.0,,,,1,0,0,0,0,1,6,0,0,13,0,0,0
71,1995/07/06,Edmonton,AB,CAN,CAN,73,175,L,2013,2,59,2016,2,8477480,Comrie,Eric,WPG,3,3,0,1,2,0,0,94,82,12,.872,3.99,-3.9,-3.5,-4.4,-2.4,10826,0,0,0,0,0,0,0,0,7.3%,2.66,8.11%,6.87,180.4,82,12,.872,3.99,1,1,33.3%,0,0,0.0,0,0,.000,0.00,,,,22,7,.682,32,3,40,2,.874,85,11,.871,7,1,.857,2,0,1.000,.872,143,116,94,8.5,12,30,30,9,.897,.910,-3.5,56.8%,71,54,58,203,146,110,8,91,29,4,,, ,,,,RFA,"$692,500","$645,000",1,115.1,0.1,,,,4,4,2,2,0,16,133,0,0,239,1,0,0.3
72,1984/02/29,Saskatoon,SK,CAN,CAN,73,185,L,2002,1,25,2005,13,8470320,Ward,Cam,CAR,43,42,1,23,14,0,4,1187,1075,112,.906,2.73,-9.3,-10.2,-6.5,-4.2,147560,2,0,0,0,14,3,0,-3,8.9%,2.95,8.88%,7.98,2412.4,1052,110,.905,2.74,21,23,54.8%,10,3,46.9,23,2,.920,2.56,,,,253,55,.783,410,43,523,14,.901,1021,89,.913,140,19,.864,26,4,.846,.904,2155,1632,1187,101.8,112,435,435,60,.931,.914,-10.2,54.1%,870,737,784,2595,1953,1364,121,1271,541,71,5,1,.986,1,0,M-NTC,UFA,"$3,100,000","$3,300,000",15,115.9,5.8,,,,668,568,318,244,84,1728,18989,27,44,38436,303,88,109.1
