#,DOB,Birth City,S/P,Ctry,HT,Wt,S,Rk,Age,BTN Code,Last Name,First Name,End Team,Teams,Pos,GP,G,A,PTS,+/-,Sh,Sh%,TOI,TOI/G,Shifts,Sh/G,TOI/Sh,Passes,Pa/60,IGP,IAP,IPP,FO,FOW,FOL,FO%,%Tm,Hits,BkS,MsS,GvA,TkA,H/60,B/60,M/60,G/60,T/60,PIM,Minor,Major,Misc,G Misc,Match,NetPen,ESTOI,ESTOI/G,55TOI/G,55TOF/G,ES%,ESG,ESA1,ESA2,ESA,ESP,ESP/60,ESPass,ESIGP,ESIAP,ESIPP,ESFO,ESFOW,ESFOL,ESFO%,ESOZFOW,ESOZFOL,ESOZ%,ESDZFOW,ESDZFOL,ESDZ%,ESNZFOW,ESNZFOL,ESNZ%,OZ%,OZRk,ESOZF,ESDZF,ESNZF,TOI QoC,RCQoC,QoCRk,CQoC ,RCQoT,CQoT ,ESOISH%,ESOISV%,PDO,SPD,TmESGF/60,TmESGA/60,TmESSF/60,TmESSA/60,TmESCF/60,TmESCA/60,Corsi,TmESGF,TmESGA,TmESSVA,TmESSVF,TmESMF,TmESMA,TmESBF,TmESBA,Adj Corsi,oTmESGF/60,oTmESGA/60,oTmESSF/60,oTmESSA/60,oTmESCF/60,oTmESCA/60,RelC,oTmESGF,oTmESGA,oTmESSVA,oTmESSVF,oTmESMF,oTmESMA,oTmESBF,oTmESBA,ESPenT,ESPenD,ESPPD,ESPenT/60,ESPenD/60,ESPPD/60,PPTOI,PPTOI/G,54TOI/G,54TOF/G,PP%,PPG,PPA1,PPA2,PPA,PPP,PPP/60,PPPass,PPIGP,PPIAP,PPIPP,PPFO,PPFOW,PPFOL,PPFO%,TmPPGF,TmPPGA,TmPPSVA,TmPPSVF,TmPPMF,TmPPMA,TmPPBF,TmPPBA,PPPenT,PPPenD,SHTOI,SHTOI/G,45TOI/G,45TOF/G,SH%,SHG,SHA1,SHA2,SHA,SHP,SHPass,SHFO,SHFOW,SHFOL,SHFO%,TmSHGF,TmSHGA,TmSHSVA,TmSHSVF,TmSHMF,TmSHMA,TmSHBF,TmSHBA,SHPenT,SHPenD,tmGF,tmPPGF,tmGA,tmPPGA,SOS,SOG,SO%,SOGDG,1G,OTG,GWG,ENG,PSG,PST,PS%,DIA,OPS,DPS,PS,PS/G,PS/60,OGIT,DIT,RPM,OGVT,DGVT,SGVT,GVT,GVT/G,GVT/60,Full,LTIR,SOIR,Ginj,Injury,Cap Cost,Bonuses,GVS
71,Jul 31 '86,Magnitogorsk,,RUS,75,195,L,,27,EVGENIMALKIN,Malkin,Evgeni,PIT,PIT,C,31,9,24,33,5,99,9.1%,610.8,19.7,644,20.8,0.95,102,10.07,20.0%,53.3%,73.3%,413,195,218,47.2%,21.9,12,11,46,21,23,1.2,1.1,4.5,2.1,2.3,36,13,0,0,1,0,1.5,471.2,15.2,14.72,32.97,30.9%,5,6,4,10,15,1.91,74,21.7%,43.5%,65.2%,367,174,193,47.4%,80,95,40.8%,51,49,23.3%,74,80,35.9%,63.6%,16,186,148,156,15.99834706,0.02,10,-0.173,2.907,0.581,8.1%,.918,926,-0.1%,3.02,2.10,37.34,25.51,65.87,49.83,16.04,23,16,261,178,99,91,94,118,11.92,2.88,2.23,28.88,28.94,51.19,56.41,21.3,49,38,443,455,177,194,274,203,7,10,3,0.89,1.27,0.38,138.6,4.5,4.19,1.05,80.0%,4,5,6,14,18,7.8,28,18.2%,63.6%,81.8%,43,18,25,41.9%,22,3,103,7,40,3,10,52,1,0,1.0,0.0,0.03,5.32,0.6%,0,0,0,0,0,0,3,3,0,100.0%,0,0,0,0,0,2,0,0,0,0,50,26,19,0,2,1,50%,1,3,0,3,0,0,0, ,4,3.0,0.7,3.7,0.12,0.36,15.2,10.3,0.5,6.2,0.5,0.2,6.9,0.22,0.68,99,0,0,17,"Concussion, Upper body","$8,700,000",$0,-7.5
42,May 20 '89,Miramichi,NB,CAN,74,207,L,Y,24,BRADMALONE,Malone,Brad,COL,COL,C,13,1,1,2,-7,10,10.0%,114.3,8.8,178,13.7,0.64,0,0.00,33.3%,33.3%,66.7%,46,22,24,47.8%,6.3,39,3,4,1,6,20.5,1.6,2.1,0.5,3.2,16,3,2,0,0,0,-2.2,110.2,8.5,8.43,39.87,17.5%,1,0,1,1,2,1.09,0,33.3%,33.3%,66.7%,43,20,23,46.5%,12,20,37.2%,13,16,33.7%,11,14,29.1%,52.5%,7,31,42,26,14.19626965,-1.68,14,-2.301,0.589,-2.017,7.3%,.800,807,-12.7%,1.64,5.47,22.45,27.37,49.82,50.92,-1.09,3,10,38,40,22,16,27,28,-2.06,1.85,1.85,31.60,28.36,57.42,54.29,-4.2,16,16,257,229,90,111,113,133,3,1,-2,1.63,0.54,-1.09,0.2,0.0,0.02,5.2,0.4%,0,0,0,0,0,0.0,0,0.0%,0.0%,0.0%, ,0,0, ,0,0,0,0,0,0,0,0,0,0,3.8,0.3,0.29,5.54,5.0%,0,0,0,0,0,0,3,2,1,66.7%,0,1,1,1,0,0,2,0,0,0,3,0,11,1,,, ,,1,0,0,0,0,0, ,2,0.0,-0.2,-0.2,-0.02,-0.11,3.4,3.6,-5.8,-0.7,-0.3,0,-1,-0.08,-0.53,32,0,0,,,"$254,545","$87,500",-1.2
12,Dec 01 '79,Pittsburgh,PA,USA,76,224,L,,34,RYANMALONE,Malone,Ryan,TBL,TBL,LW,24,6,2,8,-3,37,16.2%,377.7,15.7,498,20.8,0.76,0,0.00,30.0%,10.0%,40.0%,23,9,14,39.1%,1.5,49,9,11,7,14,7.8,1.4,1.7,1.1,2.2,22,11,0,0,0,0,-2.4,296.7,12.4,12.29,35.21,25.9%,4,0,2,2,6,1.21,0,33.3%,16.7%,50.0%,12,4,8,33.3%,52,47,30.7%,54,43,30.0%,67,60,39.3%,50.5%,7,121,114,113,16.02901221,0.565,2,0.859,0.449,-5.015,9.5%,.918,928,1.3%,2.44,2.64,25.63,32.34,47.19,58.58,-11.39,12,13,114,146,51,60,69,55,-5.73,3.12,2.34,28.76,29.82,51.41,56.45,-6.4,44,33,361,387,149,183,192,170,6,4,-2,1.21,0.81,-0.40,62.2,2.6,2.37,2.81,45.8%,2,0,0,0,2,1.9,0,25.0%,0.0%,25.0%,9,5,4,55.6%,8,1,32,11,21,0,2,17,1,0,18.8,0.8,0.73,5.22,12.3%,0,0,0,0,0,0,2,0,2,0.0%,0,1,1,11,0,12,5,0,1,2,24,12,16,1,,, ,,0,0,1,0,0,0, ,4,0.5,0.2,0.6,0.03,0.10,9.1,6.4,-1.6,-0.4,0,0,-0.4,-0.02,-0.06,99,0,0,24,"Lower body, Shoulder, Flu","$4,500,000",$0,-7.4
32,Jun 04 '90,Prince George,BC,CAN,73,195,L,Y,23,BRANDONMANNING,Manning,Brandon,PHI,PHI,D,6,0,2,2,4,5,0.0%,88.8,14.8,126,21.0,0.70,11,7.43,0.0%,25.0%,25.0%,#VALUE!, , ,#VALUE!,0.0,15,4,2,3,2,10.1,2.7,1.4,2.0,1.4,0,0,0,0,0,0,0.4,88.4,14.7,14.37,34.3,29.5%,0,2,0,2,2,1.36,11,0.0%,25.0%,25.0%, ,,, ,13,6,24.1%,14,14,35.4%,14,18,40.5%,40.4%,1,28,35,38,15.09231387,0.28,6,6.342,0.109,-6.997,18.2%,.931,949,11.3%,5.57,2.78,30.62,40.36,50.80,69.59,-18.79,8,4,36,54,17,21,21,12,-3.24,2.33,2.33,27.41,32.07,51.90,62.97,-7.7,8,8,86,102,38,42,64,46,0,0,0,0.00,0.00,0.00,0.0,0.0,,, ,0,0,0,0,0,0.0,0,0.0%,0.0%,0.0%, ,,, ,,,0,0,0,0,0,0,0,0,0.4,0.1,0.07,5.88,1.2%,0,0,0,0,0,0, ,,, ,0,0,0,0,0,0,0,0,0,0,8,0,4,0,,, ,,0,0,0,0,0,0, ,4,0.1,0.5,0.7,0.12,0.47,1.8,1.9,4.6,0.3,0.8,0,1.1,0.18,0.74,12,0,0,,,"$89,697","$160,000",1.0
63,May 11 '88,Halifax,NS,CAN,69,183,L,,25,BRADMARCHAND,Marchand,Brad,BOS,BOS,LW/C,45,18,18,36,23,91,19.8%,763.4,17.0,977,21.7,0.78,121,9.49,40.0%,40.0%,80.0%,12,6,6,50.0%,0.4,38,20,32,32,28,3.0,1.6,2.5,2.5,2.2,27,11,1,0,0,0,0.9,628.0,14.0,13.57,35.54,27.6%,12,11,6,18,30,2.87,121,34.3%,51.4%,85.7%,9,5,4,55.6%,129,85,33.0%,132,69,31.0%,132,102,36.1%,51.6%,7,215,241,221,16.10018071,0.848,2,-0.65,8.001,16.314,9.1%,.942,952,3.4%,3.44,1.57,37.73,27.32,72.22,48.73,23.48,35,16,349,262,168,100,118,183,6.05,2.33,2.25,31.03,28.25,59.24,52.45,16.7,62,60,765,693,312,272,373,440,6,10,4,0.57,0.96,0.38,78.3,1.7,1.72,2.43,41.4%,4,0,0,0,4,3.1,0,44.4%,0.0%,44.4%,1,0,1,0.0%,9,0,52,15,25,1,2,23,1,0,57.1,1.3,1.27,4.29,22.8%,2,0,0,0,2,0,2,1,1,50.0%,1,3,14,23,6,13,16,2,1,0,48,9,19,3,6,2,33%,1,5,0,5,1,1,1,100%,7,3.9,1.8,5.7,0.13,0.45,18.2,16.1,17.4,7.5,3.3,-0.1,10.7,0.24,0.84,99,0,0,3,"Upper body, Concussion","$2,500,000",$0,7.2
79,Dec 20 '78,Voskresensk,,RUS,72,204,L,,35,ANDREIMARKOV,Markov,Andrei,MTL,MTL,D,48,10,20,30,-9,79,12.7%,1158.2,24.1,1337,27.9,0.87,72,3.72,17.9%,35.7%,53.6%,#VALUE!, , ,#VALUE!,0.0,22,60,34,50,18,1.1,3.1,1.8,2.6,0.9,14,7,0,0,0,0,4.1,821.9,17.1,16.2,30.01,35.1%,2,1,4,5,7,0.51,13,6.7%,16.7%,23.3%, ,,, ,129,133,30.8%,143,119,30.8%,144,182,38.4%,50.0%,3,321,329,261,15.99809411,0.498,4,-0.234,-0.156,5.189,7.9%,.907,915,-1.4%,2.31,2.78,29.32,30.02,59.57,54.01,5.56,30,36,350,353,170,140,171,222,0.04,2.92,1.79,30.32,24.99,57.52,50.98,-1.0,70,43,658,557,281,233,391,372,4,4,0,0.29,0.29,0.00,228.9,4.8,4.42,2.02,68.6%,8,9,3,15,23,6.0,59,30.8%,57.7%,88.5%, ,,, ,26,1,145,32,65,7,7,85,1,1,107.4,2.2,2.21,3.22,40.7%,0,0,0,0,0,0, ,,, ,0,13,9,76,5,39,37,8,1,1,63,33,54,15,,, ,,0,1,4,0,0,0, ,6,3.1,1.4,4.5,0.09,0.23,28.8,23.5,-12.2,5.6,0.6,0,6.2,0.13,0.32,99,0,0,,,"$5,750,000",$0,-3.0
12,Sep 15 '79,Aneroid,SK,CAN,74,220,L,,34,PATRICKMARLEAU,Marleau,Patrick,SJS,SJS,LW/C,48,17,14,31,-2,150,11.3%,917.3,19.1,1250,26.0,0.73,40,2.60,37.0%,30.4%,67.4%,150,71,79,47.3%,4.9,38,13,46,26,25,2.5,0.9,3.0,1.7,1.6,24,12,0,0,0,0,-2.1,691.1,14.4,13.75,34.9,28.3%,10,1,5,6,16,1.39,15,40.0%,24.0%,64.0%,91,43,48,47.3%,121,115,33.8%,121,113,33.5%,111,117,32.7%,50.2%,6,243,249,213,16.39003125,1.467,1,1.023,2.779,4.627,6.8%,.906,913,-2.5%,2.27,2.36,33.36,25.27,61.91,54.27,7.64,25,26,342,252,136,139,180,178,3.89,1.90,1.90,28.69,29.08,58.20,57.09,6.5,53,53,748,759,369,321,461,455,7,6,-1,0.61,0.52,-0.09,155.4,3.2,3.13,2.36,57.0%,6,3,4,8,14,5.4,25,30.0%,40.0%,70.0%,14,7,7,50.0%,20,2,147,24,67,9,3,78,4,2,70.9,1.5,1.41,3.22,30.5%,1,0,0,0,1,0,45,21,24,46.7%,1,7,9,46,1,20,20,3,0,2,52,25,37,8,3,2,67%,2,3,0,3,0,0,0, ,5,2.9,1.2,4.1,0.09,0.27,22.8,20.6,1,3.7,2.4,0.7,6.9,0.14,0.45,99,0,0,,,"$6,900,000",$0,-4.3
62,Apr 23 '88,St. Louis,MO,USA,75,229,L,Y,25,PATRICKMAROON,Maroon,Patrick,ANA,ANA,LW,13,2,1,3,-1,21,9.5%,127.2,9.8,173,13.3,0.74,14,6.72,50.0%,25.0%,75.0%,14,4,10,28.6%,1.7,22,7,9,0,5,10.4,3.3,4.2,0.0,2.4,10,0,2,0,0,0,1.8,121.6,9.4,9.36,39.8,19.0%,2,1,0,1,3,1.48,14,50.0%,25.0%,75.0%,14,4,10,28.6%,20,30,42.4%,12,17,24.6%,17,22,33.1%,63.3%,14,45,56,28,14.96701908,-0.89,12,-0.791,-2.074,-6.717,7.0%,.925,932,-0.5%,1.97,1.97,28.11,26.13,49.80,58.68,-8.88,4,4,53,49,19,27,39,25,-6.23,2.67,2.55,28.99,29.92,53.34,62.16,-0.1,23,22,227,236,100,114,164,110,0,2,2,0.00,0.99,0.99,5.6,0.4,0.43,3.44,11.1%,0,0,0,0,0,0.0,0,0.0%,0.0%,0.0%, ,0,0, ,0,1,3,3,0,0,0,0,0,0,0.0,0.0,,, ,0,0,0,0,0,0, ,0,0, ,,,0,0,0,0,0,0,0,0,4,0,5,0,,, ,,0,0,0,0,0,0, ,3,0.2,0.1,0.3,0.02,0.14,2.3,2.2,-1.7,0.3,0.1,0,0.5,0.04,0.24,27,0,0,,,"$150,000",$0,0.5
17,May 08 '89,Windsor,ON,CAN,75,206,L,,24,MATTMARTIN,Martin,Matt,NYI,NYI,LW,48,4,7,11,-2,67,6.0%,571.5,11.9,800,16.7,0.71,81,8.53,20.0%,35.0%,55.0%,18,6,12,33.3%,0.6,234,22,19,12,10,24.6,2.3,2.0,1.3,1.0,63,14,7,0,0,0,0.0,484.3,10.1,10.08,39.48,20.3%,3,7,0,7,10,1.24,81,16.7%,38.9%,55.6%,15,6,9,40.0%,52,45,23.5%,71,54,30.3%,99,91,46.1%,43.7%,2,156,177,155,14.76394098,-0.543,13,-0.431,-1.481,-1.212,8.6%,.907,915,-0.7%,2.23,2.48,25.92,26.54,47.87,53.32,-5.46,18,20,191,194,77,87,129,100,-3.25,2.63,2.66,31.12,27.26,57.81,56.45,-6.8,83,84,900,777,347,401,521,496,7,9,2,0.87,1.12,0.25,10.5,0.2,0.19,4.52,4.0%,1,0,0,0,1,5.7,0,50.0%,0.0%,50.0%, ,0,0, ,2,0,8,0,0,0,0,9,1,1,76.8,1.6,1.6,2.96,35.1%,0,0,0,0,0,0,3,0,3,0.0%,0,9,8,62,2,18,26,4,1,0,21,3,29,9,,, ,,0,0,1,0,0,0, ,4,0.1,0.5,0.6,0.01,0.06,10.9,13.2,-1.3,-0.4,1.7,0,1.3,0.03,0.14,99,0,0,,,"$1,000,000",$0,0.4
7,Mar 05 '81,Minneapolis,MN,USA,73,200,L,,32,PAULMARTIN,Martin,Paul,PIT,PIT,D,34,6,17,23,14,38,15.8%,861.1,25.3,913,26.9,0.94,56,3.87,11.1%,31.5%,42.6%,#VALUE!, , ,#VALUE!,0.0,17,50,20,12,14,1.2,3.5,1.4,0.8,1.0,16,8,0,0,0,0,-1.5,645.9,19.0,18.48,29.33,38.7%,4,5,4,10,14,1.30,43,11.1%,27.8%,38.9%, ,,, ,105,81,27.5%,111,104,31.8%,144,132,40.8%,46.4%,3,224,240,217,16.18268362,0.816,3,0.742,-1.615,-2.515,11.6%,.928,940,4.4%,3.44,2.01,29.70,27.98,55.00,54.81,.19,36,21,275,272,118,128,153,147,4.23,2.77,1.74,31.29,27.32,59.02,53.91,-4.9,46,29,474,425,223,184,258,238,7,1,-6,0.65,0.09,-0.56,108.4,3.2,3.17,1.99,61.4%,2,2,4,7,9,5.0,12,11.8%,41.2%,52.9%, ,,, ,17,1,88,5,40,5,5,50,0,1,106.8,3.1,3.04,2.46,55.3%,0,0,0,0,0,0, ,,, ,1,11,6,73,2,36,35,3,0,0,55,18,33,10,,, ,,1,0,1,0,0,0, ,6,2.2,2.4,4.6,0.14,0.32,19.2,17.9,6.2,4.8,2.5,0,7.3,0.21,0.51,99,0,0,14,"Lower body, Wrist","$5,000,000",$0,-0.6
4,Aug 31 '76,Havlicko Brod,,CZE,72,206,R,,37,RADEKMARTINEK,Martinek,Radek,NYI,NYI,D,13,3,0,3,-2,12,25.0%,209.9,16.1,246,18.9,0.85,0,0.00,50.0%,0.0%,50.0%,#VALUE!, , ,#VALUE!,0.0,15,19,8,6,2,4.3,5.4,2.3,1.7,0.6,4,2,0,0,0,0,0.0,202.1,15.5,15.39,35.24,30.4%,3,0,0,0,3,0.89,0,50.0%,0.0%,50.0%, ,,, ,28,31,35.1%,30,22,31.0%,26,31,33.9%,53.2%,3,56,65,54,15.15967708,0.461,3,1.431,0.312,0.179,6.2%,.910,916,-2.8%,1.80,2.40,29.09,26.69,48.58,60.58,-12.00,6,8,91,81,25,45,68,40,-11.59,2.88,2.49,28.03,25.41,52.91,56.84,-8.1,22,19,192,175,76,99,141,114,2,1,-1,0.59,0.30,-0.30,0.1,0.0,0,4.09,0.0%,0,0,0,0,0,0.0,0,0.0%,0.0%,0.0%, ,,, ,0,0,0,0,0,0,0,0,0,0,7.8,0.6,0.6,3.59,14.3%,0,0,0,0,0,0, ,,, ,0,0,0,5,1,2,2,1,0,0,6,0,8,0,,, ,,0,0,1,0,0,0, ,4,0.4,0.3,0.7,0.05,0.20,3.2,3.6,-1.5,0.9,0.1,0,1,0.08,0.29,99,0,0,7,Groin,"$600,000","$150,000",0.8
27,Jul 26 '87,Rochester Hills,MI,USA,73,206,L,,26,ALECMARTINEZ,Martinez,Alec,LAK,LAK,D,27,1,4,5,-2,30,3.3%,432.6,16.0,615,22.8,0.70,0,0.00,10.0%,40.0%,50.0%,#VALUE!, , ,#VALUE!,0.0,31,31,18,13,2,4.3,4.3,2.5,1.8,0.3,10,5,0,0,0,0,-2.1,379.1,14.0,13.57,34.32,28.3%,1,0,3,3,4,0.63,0,11.1%,33.3%,44.4%, ,,, ,70,60,40.0%,40,34,22.8%,60,61,37.2%,63.7%,7,137,119,107,15.17045105,-0.562,6,-1.276,-0.872,11.043,4.9%,.911,915,-4.0%,1.47,1.80,29.97,20.14,59.44,40.61,18.83,9,11,174,112,89,58,67,91,3.13,3.30,2.46,31.27,24.35,58.08,44.35,5.1,51,38,432,338,198,158,151,216,4,1,-3,0.63,0.16,-0.47,33.8,1.3,1.23,3.88,24.1%,0,0,1,1,1,1.8,0,0.0%,100.0%,100.0%, ,,, ,1,0,16,1,16,0,0,17,1,0,19.8,0.7,0.7,4.49,13.5%,0,0,0,0,0,0, ,,, ,0,4,1,21,2,5,7,1,0,0,10,1,15,4,,, ,,0,0,0,0,0,0, ,0,0.2,0.8,1.0,0.04,0.14,6.2,8.2,-3,0.5,1,0,1.5,0.06,0.21,99,0,0,7,Upper body,"$737,500",$0,1.1
40,Sep 20 '88,Bradford,ON,CAN,76,220,L,Y,25,BRANDONMASHINTER,Mashinter,Brandon,NYR,NYR,LW,4,0,0,0,-2,2,0.0%,23.7,5.9,36,9.0,0.66,0,0.00,0.0%,0.0%,0.0%,#VALUE!,1, ,#VALUE!,0.4,7,1,0,1,0,17.7,2.5,0.0,2.5,0.0,0,0,0,0,0,0,0.0,23.7,5.9,5.92,45.46,11.5%,0,0,0,0,0,0.00,0,0.0%,0.0%,0.0%,1,1,0,100.0%,3,5,44.4%,2,3,27.8%,4,1,27.8%,61.5%,11,5,11,5,13.70331968,-1.521,13,3.377,-10.339,-4.397,0.0%,.667,667,-33.3%,0.00,5.07,20.27,15.20,53.21,45.61,7.60,0,2,8,4,3,6,6,10,12.52,1.65,1.98,28.05,25.08,58.07,52.79,2.3,5,6,80,70,42,31,53,49,0,0,0,0.00,0.00,0.00,0.0,0.0,,, ,0,0,0,0,0,0.0,0,0.0%,0.0%,0.0%, ,0,0, ,,,0,0,0,0,0,0,0,0,0.0,0.0,,, ,0,0,0,0,0,0, ,0,0, ,,,0,0,0,0,0,0,0,0,0,0,2,0,,, ,,0,0,0,0,0,0, ,3,-0.1,-0.1,-0.1,-0.03,-0.25,0.7,0.7,-2.2,-0.3,-0.1,0,-0.4,-0.10,-1.01,10,0,0,,,"$55,556",$0,-0.4
15,Feb 23 '94,Chicago,IL,USA,73,215,L,Y,19,STEFANMATTEAU,Matteau,Stefan,NJD,NJD,LW/C,17,1,2,3,-1,22,4.5%,156.2,9.2,225,13.2,0.69,35,13.25,25.0%,50.0%,75.0%,#VALUE!, ,4,#VALUE!,0.3,25,1,1,4,5,9.6,0.4,0.4,1.5,1.9,6,3,0,0,0,0,-1.3,155.9,9.2,9.11,36.81,19.8%,1,2,0,2,3,1.15,35,25.0%,50.0%,75.0%,4,0,4,0.0%,25,27,36.1%,16,26,29.2%,29,21,34.7%,55.3%,9,57,61,59,15.54896052,0.466,2,-1.323,-1.702,8.871,5.8%,.926,932,-1.6%,1.55,1.94,26.73,26.34,48.43,46.49,1.94,4,5,65,63,24,16,36,32,-9.62,1.63,1.92,27.13,22.15,52.06,40.46,-9.7,17,20,266,211,120,89,102,140,2,1,-1,0.77,0.38,-0.38,0.3,0.0,0.02,5.72,0.3%,0,0,0,0,0,0.0,0,0.0%,0.0%,0.0%, ,0,0, ,0,0,1,0,0,0,0,0,0,0,0.0,0.0,,, ,0,0,0,0,0,0, ,0,0, ,,,0,0,0,0,0,0,0,0,4,0,5,0,,, ,,0,0,0,0,0,0, ,2,0.0,0.2,0.2,0.01,0.08,3.2,3.1,-0.2,-0.2,0.5,0,0.4,0.02,0.15,57,0,0,,,"$485,076","$82,500",0.1
18,Feb 19 '88,Missisauga,ON,CAN,76,220,L,,25,SHAWNMATTHIAS,Matthias,Shawn,FLA,FLA,C,48,14,7,21,-8,106,13.2%,729.1,15.2,1007,21.0,0.72,51,4.20,41.2%,20.6%,61.8%,347,153,194,44.1%,12.7,66,21,27,4,16,5.4,1.7,2.2,0.3,1.3,16,8,0,0,0,0,-4.2,635.0,13.2,12.97,36.23,26.4%,11,4,2,6,17,1.61,43,40.7%,22.2%,63.0%,311,134,177,43.1%,73,90,28.5%,84,78,28.3%,121,126,43.2%,50.2%,3,213,206,200,15.8278403,0.503,6,0.339,-0.034,-1.882,9.2%,.895,904,-1.2%,2.60,3.37,28.14,32.19,52.53,56.86,-4.34,27,35,265,299,118,113,143,135,-2.24,1.59,3.04,29.09,30.53,53.17,54.03,-3.5,46,88,797,797,304,322,359,394,7,5,-2,0.66,0.47,-0.19,43.6,0.9,0.89,3.83,18.9%,2,1,0,1,3,4.1,8,33.3%,16.7%,50.0%,20,12,8,60.0%,6,1,41,6,10,0,1,13,1,0,50.5,1.1,1.05,4.08,20.5%,1,0,0,0,1,0,16,7,9,43.8%,1,2,5,46,4,17,17,0,0,0,35,6,40,3,1,0,0%,0,2,0,1,0,0,0, ,5,2.0,0.6,2.6,0.05,0.21,17.3,16.3,7.8,2.3,1.7,-0.3,3.7,0.08,0.30,99,0,0,,,"$851,625",$0,3.1
22,Oct 24 '74,Toronto,ON,CAN,73,222,R,,39,JAMALMAYERS,Mayers,Jamal,CHI,CHI,RW,19,0,2,2,2,10,0.0%,132.4,7.0,195,10.3,0.68,12,5.62,0.0%,40.0%,40.0%,78,42,36,53.8%,6.9,26,4,5,2,3,11.8,1.8,2.3,0.9,1.4,16,3,2,0,0,0,-3.2,126.0,6.6,6.63,40.78,14.0%,0,1,1,2,2,0.95,12,0.0%,40.0%,40.0%,74,41,33,55.4%,24,21,37.8%,19,18,31.1%,22,15,31.1%,54.9%,5,49,41,52,14.54833516,-0.664,11,-2.787,2.523,9.365,8.1%,.929,937,0.9%,2.38,1.43,29.53,20.00,48.11,45.25,2.86,5,3,57,39,16,21,32,23,-10.55,2.56,2.09,30.12,26.79,55.21,50.57,-1.8,33,27,356,319,134,120,187,190,3,0,-3,1.43,0.00,-1.43,2.6,0.1,0.14,5.64,2.4%,0,0,0,0,0,0.0,0,0.0%,0.0%,0.0%,2,1,1,50.0%,0,0,1,0,1,1,0,2,0,0,3.9,0.2,0.2,5.21,3.7%,0,0,0,0,0,0,2,0,2,0.0%,0,0,0,6,1,1,0,0,0,0,5,0,3,0,,, ,,0,0,0,0,0,0, ,3,-0.1,0.2,0.1,0.01,0.05,2.8,2.7,0.4,-0.5,0.4,0,-0.1,-0.01,-0.05,99,0,0,,,"$600,000","$50,000",-0.3
4,Feb 25 '88,Edina,MN,USA,74,200,R,,25,JAMIEMCBANE,McBain,Jamie,CAR,CAR,D,40,1,7,8,0,46,2.2%,737.0,18.4,987,24.7,0.75,37,2.98,3.0%,21.2%,24.2%,#VALUE!, , ,#VALUE!,0.0,22,63,16,18,8,1.8,5.1,1.3,1.5,0.7,12,5,0,0,0,0,4.2,652.6,16.3,15.91,32.43,32.9%,1,3,4,7,8,0.74,37,3.4%,24.1%,27.6%, ,,, ,110,98,34.2%,88,77,27.1%,102,134,38.8%,55.8%,6,251,216,205,15.57412825,0.271,5,-0.042,1.62,4.474,8.2%,.921,930,0.3%,2.73,2.45,33.38,31.21,63.92,57.79,6.13,29,26,325,305,145,132,150,179,0.14,2.59,2.87,30.57,32.47,59.34,60.08,6.9,56,62,605,640,285,301,296,337,3,6,3,0.28,0.55,0.28,53.4,1.3,1.34,4.12,24.5%,0,0,0,0,0,0.0,0,0.0%,0.0%,0.0%, ,,, ,4,1,34,11,16,5,4,17,1,0,31.0,0.8,0.75,4.27,14.9%,0,0,0,0,0,0, ,,, ,0,8,6,22,1,4,10,3,1,0,33,4,37,8,,, ,,0,0,0,0,0,0, ,2,0.1,1.3,1.4,0.04,0.11,13.2,14.3,4.1,0.1,1.1,0,1.2,0.03,0.10,99,0,0,4,Upper body,"$1,800,000",$0,-1.1
11,Mar 02 '83,Kingston,ON,CAN,73,205,L,,30,JAYMCCLEMENT,McClement,Jay,TOR,TOR,C,48,8,9,17,0,48,16.7%,732.0,15.2,1026,21.4,0.71,17,1.39,34.8%,39.1%,73.9%,393,203,190,51.7%,13.3,76,39,12,17,30,6.2,3.2,1.0,1.4,2.5,11,3,1,0,0,0,0.6,553.0,11.5,11.27,36.82,23.4%,8,2,7,9,17,1.84,17,36.4%,40.9%,77.3%,316,163,153,51.6%,49,79,19.4%,175,156,50.2%,109,91,30.3%,27.9%,1,166,231,169,15.58354261,1.208,3,2.53,-1.897,-14.859,11.8%,.930,941,4.7%,2.44,2.44,20.74,34.72,39.04,70.76,-31.72,22,22,165,291,68,136,189,97,-9.12,2.95,2.75,27.57,32.56,55.17,63.15,-23.7,87,81,725,878,368,406,495,445,3,4,1,0.33,0.43,0.11,3.0,0.1,0.06,5.05,1.2%,0,0,0,0,0,0.0,0,0.0%,0.0%,0.0%,3,3,0,100.0%,0,0,0,0,0,0,0,3,0,1,176.0,3.7,3.58,1.95,64.7%,0,0,0,0,0,0,74,37,37,50.0%,1,11,9,105,1,64,65,2,0,0,23,0,34,11,,, ,,1,0,0,3,0,0, ,7,0.7,0.7,1.4,0.03,0.11,11.2,17.3,-2.1,2.2,3.5,0,5.7,0.12,0.47,99,0,0,,,"$1,500,000",$0,3.9
